time;LL_circuit_vLoadA;LL_circuit_vLoadB;LL_circuit_vLoadC;LL_circuit_iLineA;LL_circuit_iLineB;LL_circuit_iLineC;
0.001440;1.276680;-0.202444;-1.074235;0.638341;-0.101224;-0.537119;
0.001450;1.275243;-0.198255;-1.076988;0.637623;-0.099129;-0.538495;
0.001460;1.273788;-0.194060;-1.079728;0.636896;-0.097031;-0.539865;
0.001470;1.272315;-0.189860;-1.082455;0.636159;-0.094931;-0.541228;
0.001480;1.270823;-0.185654;-1.085168;0.635413;-0.092829;-0.542585;
0.001490;1.269313;-0.181444;-1.087869;0.634658;-0.090724;-0.543936;
0.001500;1.267786;-0.177230;-1.090556;0.633895;-0.088616;-0.545279;
0.001510;1.266242;-0.173010;-1.093231;0.633122;-0.086507;-0.546617;
0.001520;1.264680;-0.168786;-1.095893;0.632341;-0.084395;-0.547948;
0.001530;1.263101;-0.164558;-1.098542;0.631552;-0.082281;-0.549272;
0.001540;1.261505;-0.160326;-1.101178;0.630754;-0.080165;-0.550590;
0.001550;1.259892;-0.156090;-1.103802;0.629948;-0.078047;-0.551902;
0.001560;1.258263;-0.151850;-1.106413;0.629133;-0.075927;-0.553208;
0.001570;1.256618;-0.147607;-1.109011;0.628311;-0.073805;-0.554507;
0.001580;1.254957;-0.143360;-1.111597;0.627480;-0.071681;-0.555800;
0.001590;1.253280;-0.139109;-1.114170;0.626641;-0.069556;-0.557086;
0.001600;1.251587;-0.134855;-1.116731;0.625795;-0.067429;-0.558367;
0.001610;1.249878;-0.130598;-1.119280;0.624940;-0.065300;-0.559641;
0.001620;1.248154;-0.126338;-1.121816;0.624078;-0.063170;-0.560909;
0.001630;1.246414;-0.122075;-1.124339;0.623209;-0.061039;-0.562171;
0.001640;1.244660;-0.117809;-1.126851;0.622331;-0.058906;-0.563426;
0.001650;1.242890;-0.113540;-1.129350;0.621446;-0.056771;-0.564676;
0.001660;1.241105;-0.109269;-1.131836;0.620554;-0.054636;-0.565919;
0.001670;1.239306;-0.104995;-1.134311;0.619654;-0.052499;-0.567156;
0.001680;1.237491;-0.100718;-1.136773;0.618747;-0.050361;-0.568387;
0.001690;1.235662;-0.096440;-1.139223;0.617833;-0.048221;-0.569612;
0.001700;1.233819;-0.092159;-1.141660;0.616911;-0.046081;-0.570831;
0.001710;1.231962;-0.087876;-1.144086;0.615982;-0.043939;-0.572044;
0.001720;1.230090;-0.083591;-1.146499;0.615046;-0.041797;-0.573251;
0.001730;1.228204;-0.079303;-1.148900;0.614103;-0.039653;-0.574451;
0.001740;1.226304;-0.075015;-1.151289;0.613153;-0.037509;-0.575646;
0.001750;1.224390;-0.070724;-1.153666;0.612196;-0.035363;-0.576834;
0.001760;1.222462;-0.066431;-1.156030;0.611232;-0.033217;-0.578016;
0.001770;1.220520;-0.062137;-1.158383;0.610261;-0.031070;-0.579192;
0.001780;1.218565;-0.057842;-1.160723;0.609284;-0.028922;-0.580363;
0.001790;1.216596;-0.053545;-1.163051;0.608299;-0.026774;-0.581527;
0.001800;1.214613;-0.049246;-1.165367;0.607308;-0.024624;-0.582685;
0.001810;1.212617;-0.044946;-1.167671;0.606310;-0.022474;-0.583837;
0.001820;1.210608;-0.040645;-1.169963;0.605305;-0.020324;-0.584983;
0.001830;1.208586;-0.036343;-1.172242;0.604294;-0.018173;-0.586122;
0.001840;1.206550;-0.032040;-1.174510;0.603276;-0.016021;-0.587256;
0.001850;1.204501;-0.027736;-1.176765;0.602252;-0.013869;-0.588384;
0.001860;1.202439;-0.023430;-1.179009;0.601221;-0.011716;-0.589505;
0.001870;1.200364;-0.019124;-1.181240;0.600183;-0.009563;-0.590621;
0.001880;1.198276;-0.014817;-1.183459;0.599139;-0.007410;-0.591731;
0.001890;1.196176;-0.010510;-1.185666;0.598089;-0.005256;-0.592834;
0.001900;1.194062;-0.006202;-1.187860;0.597032;-0.003102;-0.593931;
0.001910;1.191936;-0.001893;-1.190043;0.595969;-0.000948;-0.595023;
0.001920;1.189797;0.002417;-1.192214;0.594900;0.001207;-0.596108;
0.001930;1.187645;0.006727;-1.194372;0.593824;0.003362;-0.597187;
0.001940;1.185481;0.011037;-1.196518;0.592742;0.005517;-0.598260;
0.001950;1.183305;0.015348;-1.198652;0.591653;0.007673;-0.599327;
0.001960;1.181115;0.019659;-1.200774;0.590559;0.009828;-0.600388;
0.001970;1.178914;0.023970;-1.202884;0.589458;0.011984;-0.601443;
0.001980;1.176700;0.028281;-1.204981;0.588351;0.014139;-0.602492;
0.001990;1.174474;0.032593;-1.207066;0.587238;0.016295;-0.603534;
0.002000;1.172235;0.036904;-1.209140;0.586119;0.018451;-0.604571;
0.002010;1.169985;0.041216;-1.211200;0.584994;0.020607;-0.605601;
0.002020;1.167722;0.045527;-1.213249;0.583862;0.022763;-0.606626;
0.002030;1.165447;0.049839;-1.215286;0.582725;0.024918;-0.607644;
0.002040;1.163160;0.054150;-1.217310;0.581581;0.027074;-0.608656;
0.002050;1.160861;0.058461;-1.219322;0.580432;0.029229;-0.609662;
0.002060;1.158550;0.062772;-1.221321;0.579276;0.031385;-0.610662;
0.002070;1.156227;0.067082;-1.223309;0.578115;0.033540;-0.611656;
0.002080;1.153892;0.071392;-1.225284;0.576947;0.035695;-0.612643;
0.002090;1.151546;0.075701;-1.227247;0.575774;0.037850;-0.613625;
0.002100;1.149187;0.080010;-1.229197;0.574595;0.040004;-0.614600;
0.002110;1.146817;0.084319;-1.231136;0.573410;0.042158;-0.615569;
0.002120;1.144435;0.088627;-1.233062;0.572219;0.044312;-0.616532;
0.002130;1.142041;0.092934;-1.234975;0.571022;0.046466;-0.617489;
0.002140;1.139636;0.097240;-1.236876;0.569819;0.048619;-0.618439;
0.002150;1.137219;0.101546;-1.238765;0.568611;0.050772;-0.619384;
0.002160;1.134791;0.105851;-1.240642;0.567396;0.052925;-0.620322;
0.002170;1.132351;0.110155;-1.242506;0.566176;0.055077;-0.621254;
