time;GEN_generator_omegaPu;GEN_generator_dtheta;GEN_generator_UStatorPu;GEN_generator_PGenPu;GEN_voltageRegulator_EfdPu;GEN_governor_PmPu;GEN_pss_VPssPu;
0.004580;1.000000;1.919776;0.913306;0.601002;1.149207;0.602728;-0.000002;
0.004600;1.000000;1.919776;0.913182;0.600943;1.161653;0.602728;-0.000002;
0.004620;1.000000;1.919776;0.913069;0.600895;1.172971;0.602728;-0.000002;
0.004640;1.000000;1.919776;0.912966;0.600856;1.183190;0.602728;-0.000002;
0.004660;1.000000;1.919776;0.912875;0.600827;1.192367;0.602728;-0.000002;
0.004680;1.000000;1.919776;0.912793;0.600805;1.200572;0.602727;-0.000003;
0.004700;1.000000;1.919776;0.912719;0.600792;1.207895;0.602727;-0.000003;
0.004720;1.000000;1.919776;0.912654;0.600785;1.214435;0.602727;-0.000003;
0.004740;1.000000;1.919776;0.912595;0.600784;1.220301;0.602727;-0.000003;
0.004760;1.000000;1.919776;0.912543;0.600788;1.225603;0.602727;-0.000003;
0.004780;1.000000;1.919776;0.912494;0.600796;1.230451;0.602727;-0.000003;
0.004800;1.000000;1.919776;0.912449;0.600808;1.234950;0.602727;-0.000003;
0.004820;1.000000;1.919776;0.912407;0.600822;1.239196;0.602727;-0.000003;
0.004840;1.000000;1.919776;0.912366;0.600839;1.243273;0.602727;-0.000003;
0.004860;1.000000;1.919776;0.912326;0.600857;1.247247;0.602727;-0.000003;
0.004880;1.000000;1.919776;0.912287;0.600877;1.251167;0.602727;-0.000003;
0.004900;1.000000;1.919776;0.912248;0.600897;1.255061;0.602727;-0.000003;
0.004920;1.000000;1.919776;0.912210;0.600919;1.258937;0.602728;-0.000003;
0.004940;1.000000;1.919776;0.912171;0.600942;1.262777;0.602728;-0.000003;
0.004960;1.000000;1.919776;0.912134;0.600966;1.266545;0.602728;-0.000003;
0.004980;1.000000;1.919776;0.912097;0.600992;1.270181;0.602728;-0.000003;
0.005000;1.000000;1.919776;0.912063;0.601021;1.273607;0.602728;-0.000003;
0.005020;1.000000;1.919776;0.912032;0.601052;1.276726;0.602728;-0.000003;
0.005040;1.000000;1.919776;0.912005;0.601086;1.279430;0.602728;-0.000003;
0.005060;1.000000;1.919776;0.911984;0.601125;1.281596;0.602728;-0.000003;
0.005080;1.000000;1.919776;0.911969;0.601168;1.283097;0.602728;-0.000003;
0.005100;1.000000;1.919776;0.911962;0.601217;1.283801;0.602728;-0.000003;
0.005120;1.000000;1.919776;0.911964;0.601273;1.283578;0.602728;-0.000003;
0.005140;1.000000;1.919776;0.911977;0.601335;1.282305;0.602728;-0.000003;
0.005160;1.000000;1.919776;0.912001;0.601404;1.279866;0.602728;-0.000003;
0.005180;1.000000;1.919776;0.912038;0.601481;1.276161;0.602728;-0.000003;
0.005200;1.000000;1.919776;0.912089;0.601566;1.271105;0.602728;-0.000003;
0.005220;1.000000;1.919776;0.912154;0.601659;1.264637;0.602728;-0.000003;
0.005240;1.000000;1.919776;0.912233;0.601760;1.256717;0.602728;-0.000003;
0.005260;1.000000;1.919776;0.912327;0.601868;1.247331;0.602728;-0.000003;
0.005280;1.000000;1.919776;0.912435;0.601984;1.236490;0.602728;-0.000003;
0.005300;1.000000;1.919776;0.912558;0.602106;1.224237;0.602728;-0.000003;
0.005320;1.000000;1.919776;0.912694;0.602235;1.210636;0.602728;-0.000003;
0.005340;1.000000;1.919776;0.912843;0.602368;1.195783;0.602728;-0.000003;
0.005360;1.000000;1.919776;0.913002;0.602505;1.179796;0.602728;-0.000003;
0.005380;1.000000;1.919776;0.913172;0.602645;1.162815;0.602728;-0.000003;
0.005400;1.000000;1.919776;0.913350;0.602786;1.145003;0.602728;-0.000003;
0.005420;1.000000;1.919776;0.913535;0.602927;1.126534;0.602728;-0.000003;
0.005440;1.000000;1.919776;0.913724;0.603067;1.107600;0.602728;-0.000003;
0.005460;1.000000;1.919776;0.913916;0.603204;1.088396;0.602729;-0.000003;
0.005480;1.000000;1.919776;0.914109;0.603337;1.069126;0.602729;-0.000003;
0.005500;1.000000;1.919776;0.914301;0.603465;1.049989;0.602729;-0.000003;
0.005520;1.000000;1.919776;0.914489;0.603586;1.031181;0.602729;-0.000003;
0.005540;1.000000;1.919776;0.914671;0.603699;1.012887;0.602729;-0.000003;
0.005560;1.000000;1.919776;0.914847;0.603803;0.995281;0.602729;-0.000003;
0.005580;1.000000;1.919776;0.915015;0.603898;0.978517;0.602729;-0.000003;
0.005600;1.000000;1.919776;0.915173;0.603982;0.962731;0.602729;-0.000004;
0.005620;1.000000;1.919776;0.915320;0.604055;0.948035;0.602729;-0.000004;
0.005640;1.000000;1.919776;0.915455;0.604117;0.934517;0.602729;-0.000004;
0.005660;1.000000;1.919776;0.915578;0.604168;0.922239;0.602729;-0.000004;
0.005680;1.000000;1.919776;0.915688;0.604207;0.911236;0.602729;-0.000004;
0.005700;1.000000;1.919776;0.915785;0.604236;0.901518;0.602729;-0.000004;
0.005720;1.000000;1.919776;0.915869;0.604254;0.893068;0.602729;-0.000004;
0.005740;1.000000;1.919776;0.915941;0.604261;0.885848;0.602729;-0.000004;
0.005760;1.000000;1.919776;0.916002;0.604260;0.879797;0.602729;-0.000004;
0.005780;1.000000;1.919776;0.916051;0.604249;0.874835;0.602729;-0.000004;
0.005800;1.000000;1.919776;0.916091;0.604232;0.870869;0.602729;-0.000004;
