time;SM_circuit_vTermA;SM_circuit_vTermB;SM_circuit_vTermC;SM_circuit_iStatorA;SM_circuit_iStatorB;SM_circuit_iStatorC;SM_circuit_Wr;SM_circuit_Te;
0.002140;0.088172;-0.615954;0.527782;-0.239378;0.108165;0.131213;0.999989;0.161305;
0.002150;0.089285;-0.615881;0.526596;-0.241158;0.108716;0.132442;0.999989;0.162909;
0.002160;0.090405;-0.615810;0.525405;-0.242939;0.109264;0.133675;0.999989;0.164520;
0.002170;0.091534;-0.615742;0.524208;-0.244722;0.109810;0.134912;0.999989;0.166137;
0.002180;0.092669;-0.615676;0.523007;-0.246506;0.110352;0.136154;0.999989;0.167761;
0.002190;0.093813;-0.615614;0.521801;-0.248290;0.110891;0.137399;0.999988;0.169392;
0.002200;0.094965;-0.615554;0.520589;-0.250076;0.111428;0.138648;0.999988;0.171029;
0.002210;0.096124;-0.615497;0.519373;-0.251862;0.111961;0.139901;0.999988;0.172672;
0.002220;0.097291;-0.615443;0.518152;-0.253649;0.112491;0.141158;0.999988;0.174323;
0.002230;0.098466;-0.615391;0.516925;-0.255437;0.113018;0.142419;0.999988;0.175979;
0.002240;0.099649;-0.615342;0.515694;-0.257225;0.113542;0.143683;0.999988;0.177642;
0.002250;0.100839;-0.615296;0.514457;-0.259014;0.114063;0.144952;0.999987;0.179311;
0.002260;0.102037;-0.615252;0.513215;-0.260804;0.114581;0.146223;0.999987;0.180986;
0.002270;0.103243;-0.615211;0.511968;-0.262594;0.115095;0.147499;0.999987;0.182668;
0.002280;0.104456;-0.615173;0.510716;-0.264385;0.115606;0.148778;0.999987;0.184356;
0.002290;0.105678;-0.615137;0.509459;-0.266175;0.116114;0.150061;0.999987;0.186050;
0.002300;0.106907;-0.615104;0.508197;-0.267966;0.116619;0.151348;0.999986;0.187750;
0.002310;0.108144;-0.615073;0.506929;-0.269758;0.117120;0.152637;0.999986;0.189456;
0.002320;0.109388;-0.615045;0.505656;-0.271549;0.117618;0.153931;0.999986;0.191168;
0.002330;0.110640;-0.615019;0.504378;-0.273341;0.118113;0.155227;0.999986;0.192886;
0.002340;0.111900;-0.614996;0.503095;-0.275132;0.118605;0.156528;0.999986;0.194610;
0.002350;0.113168;-0.614975;0.501807;-0.276924;0.119093;0.157831;0.999985;0.196340;
0.002360;0.114443;-0.614957;0.500513;-0.278715;0.119577;0.159138;0.999985;0.198076;
0.002370;0.115726;-0.614941;0.499215;-0.280506;0.120058;0.160448;0.999985;0.199817;
0.002380;0.117017;-0.614927;0.497910;-0.282297;0.120536;0.161761;0.999985;0.201565;
0.002390;0.118315;-0.614916;0.496601;-0.284088;0.121010;0.163078;0.999985;0.203318;
0.002400;0.119621;-0.614908;0.495287;-0.285879;0.121481;0.164398;0.999984;0.205076;
0.002410;0.120935;-0.614901;0.493967;-0.287669;0.121948;0.165720;0.999984;0.206841;
0.002420;0.122256;-0.614897;0.492641;-0.289458;0.122412;0.167046;0.999984;0.208610;
0.002430;0.123585;-0.614895;0.491311;-0.291247;0.122872;0.168375;0.999984;0.210386;
0.002440;0.124921;-0.614896;0.489975;-0.293036;0.123329;0.169707;0.999984;0.212167;
0.002450;0.126265;-0.614899;0.488634;-0.294824;0.123782;0.171042;0.999983;0.213953;
0.002460;0.127617;-0.614904;0.487287;-0.296611;0.124231;0.172379;0.999983;0.215745;
0.002470;0.128976;-0.614911;0.485935;-0.298397;0.124677;0.173720;0.999983;0.217542;
0.002480;0.130343;-0.614921;0.484578;-0.300183;0.125119;0.175064;0.999983;0.219344;
0.002490;0.131717;-0.614933;0.483216;-0.301967;0.125557;0.176410;0.999983;0.221152;
0.002500;0.133099;-0.614947;0.481848;-0.303751;0.125992;0.177759;0.999982;0.222965;
0.002510;0.134488;-0.614963;0.480474;-0.305534;0.126423;0.179111;0.999982;0.224783;
0.002520;0.135885;-0.614981;0.479096;-0.307316;0.126851;0.180465;0.999982;0.226606;
0.002530;0.137290;-0.615001;0.477711;-0.309096;0.127274;0.181822;0.999982;0.228434;
0.002540;0.138702;-0.615024;0.476322;-0.310876;0.127694;0.183182;0.999981;0.230267;
0.002550;0.140121;-0.615048;0.474927;-0.312654;0.128110;0.184544;0.999981;0.232106;
0.002560;0.141548;-0.615075;0.473527;-0.314431;0.128522;0.185909;0.999981;0.233949;
0.002570;0.142982;-0.615103;0.472121;-0.316207;0.128931;0.187276;0.999981;0.235797;
0.002580;0.144424;-0.615134;0.470710;-0.317981;0.129335;0.188646;0.999980;0.237650;
0.002590;0.145873;-0.615166;0.469293;-0.319754;0.129736;0.190018;0.999980;0.239507;
0.002600;0.147330;-0.615201;0.467871;-0.321525;0.130133;0.191392;0.999980;0.241370;
0.002610;0.148794;-0.615237;0.466443;-0.323295;0.130526;0.192769;0.999980;0.243237;
0.002620;0.150265;-0.615276;0.465010;-0.325063;0.130915;0.194148;0.999980;0.245109;
0.002630;0.151744;-0.615316;0.463572;-0.326830;0.131301;0.195530;0.999979;0.246985;
0.002640;0.153230;-0.615358;0.462128;-0.328595;0.131682;0.196913;0.999979;0.248866;
0.002650;0.154724;-0.615402;0.460678;-0.330358;0.132059;0.198299;0.999979;0.250751;
0.002660;0.156224;-0.615448;0.459223;-0.332120;0.132433;0.199687;0.999979;0.252641;
0.002670;0.157732;-0.615495;0.457763;-0.333879;0.132803;0.201077;0.999978;0.254535;
0.002680;0.159248;-0.615545;0.456297;-0.335637;0.133168;0.202469;0.999978;0.256434;
0.002690;0.160770;-0.615596;0.454826;-0.337393;0.133530;0.203863;0.999978;0.258337;
