time;EmtFlt_circuit_iSrcA;EmtFlt_circuit_iSrcB;EmtFlt_circuit_iSrcC;EmtFlt_circuit_iFaultA;EmtFlt_circuit_vBusA;EmtFlt_circuit_vBusB;EmtFlt_circuit_vBusC;
0.002390;0.531905;0.112726;-0.644631;0.000001;1.063808;0.225451;-1.289259;
0.002400;0.530529;0.114859;-0.645388;0.000001;1.061056;0.229718;-1.290774;
0.002410;0.529148;0.116991;-0.646139;0.000001;1.058293;0.233982;-1.292275;
0.002420;0.527761;0.119122;-0.646883;0.000001;1.055520;0.238244;-1.293764;
0.002430;0.526369;0.121252;-0.647622;0.000001;1.052736;0.242504;-1.295240;
0.002440;0.524972;0.123381;-0.648353;0.000001;1.049942;0.246762;-1.296704;
0.002450;0.523570;0.125509;-0.649078;0.000001;1.047138;0.251017;-1.298154;
0.002460;0.522163;0.127635;-0.649797;0.000001;1.044323;0.255269;-1.299592;
0.002470;0.520750;0.129760;-0.650510;0.000001;1.041498;0.259519;-1.301017;
0.002480;0.519332;0.131884;-0.651216;0.000001;1.038662;0.263766;-1.302429;
0.002490;0.517909;0.134006;-0.651915;0.000001;1.035817;0.268011;-1.303828;
0.002500;0.516481;0.136127;-0.652609;0.000001;1.032961;0.272254;-1.305214;
0.002510;0.515048;0.138247;-0.653295;0.000001;1.030095;0.276493;-1.306588;
0.002520;0.513610;0.140365;-0.653975;0.000001;1.027218;0.280730;-1.307948;
0.002530;0.512167;0.142482;-0.654649;0.000001;1.024332;0.284964;-1.309296;
0.002540;0.510719;0.144598;-0.655317;0.000001;1.021435;0.289195;-1.310631;
0.002550;0.509265;0.146712;-0.655978;0.000001;1.018529;0.293424;-1.311952;
0.002560;0.507807;0.148825;-0.656632;0.000001;1.015612;0.297649;-1.313261;
0.002570;0.506344;0.150936;-0.657280;0.000001;1.012685;0.301872;-1.314557;
0.002580;0.504875;0.153046;-0.657921;0.000001;1.009749;0.306091;-1.315840;
0.002590;0.503402;0.155154;-0.658556;0.000001;1.006802;0.310308;-1.317110;
0.002600;0.501924;0.157261;-0.659185;0.000001;1.003845;0.314521;-1.318367;
0.002610;0.500440;0.159366;-0.659807;0.000001;1.000879;0.318732;-1.319610;
0.002620;0.498952;0.161470;-0.660422;0.000001;0.997902;0.322939;-1.320841;
0.002630;0.497459;0.163572;-0.661031;0.000001;0.994916;0.327143;-1.322059;
0.002640;0.495961;0.165672;-0.661633;0.000001;0.991920;0.331344;-1.323264;
0.002650;0.494458;0.167771;-0.662229;0.000001;0.988914;0.335542;-1.324455;
0.002660;0.492950;0.169868;-0.662818;0.000001;0.985898;0.339736;-1.325634;
0.002670;0.491437;0.171964;-0.663401;0.000001;0.982873;0.343927;-1.326800;
0.002680;0.489920;0.174057;-0.663977;0.000001;0.979838;0.348114;-1.327952;
0.002690;0.488397;0.176150;-0.664547;0.000001;0.976793;0.352298;-1.329091;
0.002700;0.486870;0.178240;-0.665110;0.000001;0.973738;0.356479;-1.330217;
0.002710;0.485338;0.180328;-0.665667;0.000001;0.970674;0.360656;-1.331330;
0.002720;0.483801;0.182415;-0.666217;0.000001;0.967601;0.364830;-1.332430;
0.002730;0.482260;0.184500;-0.666760;0.000001;0.964517;0.369000;-1.333517;
