time;NETWORK__BUS____1_TN_Urms;NETWORK__BUS____4_TN_Urms;NETWORK__BUS____9_TN_Urms;NETWORK__BUS___14_TN_Urms;GEN____1_SM_machine_omegaPu;GEN____1_SM_machine_PGenPu;GEN____2_SM_machine_omegaPu;GEN____8_SM_machine_omegaPu;
0.001420;1.184319;0.968876;1.325576;1.287069;1.000006;0.154121;1.000003;0.999958;
0.001430;1.142396;0.981572;1.333633;1.295548;1.000006;0.147188;1.000003;0.999957;
0.001440;1.099269;0.993875;1.341384;1.303773;1.000006;0.141193;1.000003;0.999957;
0.001450;1.056017;1.005732;1.348829;1.311763;1.000006;0.136196;1.000003;0.999956;
0.001460;1.013736;1.017099;1.355971;1.319536;1.000006;0.132219;1.000003;0.999956;
0.001470;0.973503;1.027939;1.362813;1.327111;1.000006;0.129259;1.000003;0.999955;
0.001480;0.936347;1.038223;1.369360;1.334505;1.000006;0.127289;1.000003;0.999955;
0.001490;0.903205;1.047930;1.375619;1.341734;1.000006;0.126272;1.000003;0.999954;
0.001500;0.874876;1.057047;1.381598;1.348815;1.000006;0.126159;1.000003;0.999954;
0.001510;0.851979;1.065569;1.387304;1.355763;1.000006;0.126901;1.000003;0.999953;
0.001520;0.834926;1.073498;1.392749;1.362590;1.000006;0.128447;1.000003;0.999953;
0.001530;0.823894;1.080842;1.397943;1.369311;1.000007;0.130749;1.000003;0.999953;
0.001540;0.818836;1.087618;1.402898;1.375935;1.000007;0.133763;1.000003;0.999952;
0.001550;0.819507;1.093846;1.407628;1.382473;1.000007;0.137445;1.000003;0.999952;
0.001560;0.825504;1.099555;1.412147;1.388932;1.000007;0.141749;1.000003;0.999951;
0.001570;0.836321;1.104776;1.416469;1.395320;1.000007;0.146627;1.000003;0.999951;
0.001580;0.851398;1.109546;1.420611;1.401642;1.000007;0.152020;1.000003;0.999950;
0.001590;0.870158;1.113905;1.424587;1.407901;1.000007;0.157861;1.000003;0.999950;
0.001600;0.892040;1.117898;1.428416;1.414099;1.000007;0.164068;1.000003;0.999949;
0.001610;0.916506;1.121569;1.432113;1.420237;1.000007;0.170544;1.000003;0.999949;
0.001620;0.943043;1.124968;1.435696;1.426313;1.000007;0.177176;1.000003;0.999949;
0.001630;0.971163;1.128144;1.439183;1.432327;1.000007;0.183836;1.000003;0.999948;
0.001640;1.000394;1.131146;1.442590;1.438272;1.000007;0.190387;1.000003;0.999948;
