time;NETWORK_B0_Urms;MACHINE_machine_omegaPu;MACHINE_machine_PGenPu;MACHINE_machine_UStatorPu;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;
0.002030;1.018456;0.999998;0.500968;1.018460;-0.549179;-0.095205;0.644384;
0.002040;1.016346;0.999998;0.499686;1.016350;-0.547753;-0.097032;0.644785;
0.002050;1.014185;0.999998;0.498412;1.014188;-0.546341;-0.098893;0.645234;
0.002060;1.011980;0.999998;0.497151;1.011983;-0.544944;-0.100791;0.645734;
0.002070;1.009739;0.999998;0.495906;1.009741;-0.543560;-0.102725;0.646286;
0.002080;1.007470;0.999998;0.494682;1.007472;-0.542191;-0.104698;0.646889;
0.002090;1.005182;0.999998;0.493483;1.005183;-0.540836;-0.106710;0.647546;
0.002100;1.002881;0.999998;0.492314;1.002882;-0.539494;-0.108762;0.648256;
0.002110;1.000578;0.999998;0.491176;1.000577;-0.538165;-0.110853;0.649019;
0.002120;0.998278;0.999998;0.490076;0.998277;-0.536850;-0.112986;0.649836;
0.002130;0.995991;0.999998;0.489015;0.995990;-0.535547;-0.115159;0.650706;
0.002140;0.993725;0.999998;0.487998;0.993723;-0.534255;-0.117373;0.651628;
0.002150;0.991488;0.999998;0.487029;0.991485;-0.532975;-0.119628;0.652603;
0.002160;0.989288;0.999998;0.486109;0.989284;-0.531706;-0.121923;0.653629;
0.002170;0.987131;0.999998;0.485243;0.987127;-0.530447;-0.124258;0.654705;
0.002180;0.985027;0.999998;0.484434;0.985022;-0.529196;-0.126634;0.655830;
0.002190;0.982982;0.999998;0.483683;0.982976;-0.527955;-0.129048;0.657002;
0.002200;0.981004;0.999998;0.482994;0.980997;-0.526720;-0.131500;0.658221;
0.002210;0.979099;0.999998;0.482369;0.979092;-0.525493;-0.133990;0.659483;
0.002220;0.977275;0.999998;0.481811;0.977266;-0.524271;-0.136516;0.660786;
0.002230;0.975537;0.999998;0.481321;0.975528;-0.523054;-0.139076;0.662130;
0.002240;0.973892;0.999998;0.480901;0.973882;-0.521841;-0.141670;0.663511;
0.002250;0.972346;0.999998;0.480553;0.972335;-0.520630;-0.144297;0.664927;
0.002260;0.970904;0.999998;0.480279;0.970892;-0.519421;-0.146954;0.666375;
0.002270;0.969571;0.999998;0.480079;0.969559;-0.518213;-0.149639;0.667852;
0.002280;0.968352;0.999998;0.479954;0.968339;-0.517005;-0.152352;0.669356;
0.002290;0.967251;0.999998;0.479906;0.967238;-0.515795;-0.155089;0.670884;
0.002300;0.966273;0.999998;0.479934;0.966259;-0.514582;-0.157850;0.672432;
0.002310;0.965420;0.999998;0.480040;0.965406;-0.513366;-0.160631;0.673997;
0.002320;0.964696;0.999998;0.480223;0.964682;-0.512145;-0.163431;0.675576;
0.002330;0.964104;0.999998;0.480483;0.964089;-0.510918;-0.166248;0.677166;
0.002340;0.963646;0.999998;0.480819;0.963631;-0.509684;-0.169079;0.678762;
0.002350;0.963323;0.999998;0.481231;0.963308;-0.508442;-0.171922;0.680363;
0.002360;0.963138;0.999998;0.481718;0.963122;-0.507190;-0.174774;0.681964;
0.002370;0.963090;0.999998;0.482279;0.963073;-0.505929;-0.177633;0.683562;
0.002380;0.963180;0.999998;0.482912;0.963164;-0.504656;-0.180496;0.685152;
0.002390;0.963409;0.999998;0.483616;0.963392;-0.503371;-0.183362;0.686733;
0.002400;0.963775;0.999998;0.484388;0.963758;-0.502073;-0.186227;0.688300;
0.002410;0.964278;0.999998;0.485226;0.964261;-0.500761;-0.189089;0.689850;
0.002420;0.964916;0.999998;0.486128;0.964899;-0.499433;-0.191946;0.691379;
0.002430;0.965687;0.999998;0.487092;0.965670;-0.498090;-0.194795;0.692885;
0.002440;0.966589;0.999998;0.488113;0.966572;-0.496730;-0.197633;0.694363;
0.002450;0.967619;0.999998;0.489189;0.967602;-0.495353;-0.200458;0.695811;
