time;EmtTfoYD_circuit_vPrimA;EmtTfoYD_circuit_vSecA;EmtTfoYD_circuit_vSecB;EmtTfoYD_circuit_vSecC;
0.003500;0.644018;0.689953;0.032326;-0.722278;
0.003510;0.640059;0.688580;0.034887;-0.723468;
0.003520;0.636094;0.687202;0.037448;-0.724650;
0.003530;0.632123;0.685816;0.040009;-0.725825;
0.003540;0.628146;0.684423;0.042569;-0.726992;
0.003550;0.624162;0.683024;0.045129;-0.728153;
0.003560;0.620172;0.681618;0.047688;-0.729306;
0.003570;0.616176;0.680206;0.050247;-0.730453;
0.003580;0.612174;0.678786;0.052805;-0.731592;
0.003590;0.608166;0.677360;0.055363;-0.732723;
0.003600;0.604152;0.675927;0.057921;-0.733848;
0.003610;0.600132;0.674488;0.060477;-0.734965;
0.003620;0.596106;0.673042;0.063034;-0.736075;
0.003630;0.592074;0.671589;0.065589;-0.737178;
0.003640;0.588037;0.670130;0.068144;-0.738274;
0.003650;0.583993;0.668664;0.070698;-0.739362;
0.003660;0.579944;0.667191;0.073252;-0.740443;
0.003670;0.575889;0.665712;0.075805;-0.741516;
0.003680;0.571828;0.664226;0.078357;-0.742583;
0.003690;0.567762;0.662734;0.080908;-0.743642;
0.003700;0.563690;0.661235;0.083458;-0.744693;
0.003710;0.559613;0.659730;0.086008;-0.745738;
0.003720;0.555530;0.658218;0.088557;-0.746775;
0.003730;0.551441;0.656699;0.091105;-0.747804;
0.003740;0.547347;0.655175;0.093652;-0.748826;
0.003750;0.543248;0.653643;0.096198;-0.749841;
0.003760;0.539143;0.652106;0.098743;-0.750849;
0.003770;0.535033;0.650561;0.101287;-0.751849;
0.003780;0.530918;0.649011;0.103830;-0.752841;
0.003790;0.526797;0.647454;0.106373;-0.753826;
0.003800;0.522672;0.645890;0.108914;-0.754804;
0.003810;0.518541;0.644320;0.111454;-0.755774;
0.003820;0.514405;0.642744;0.113993;-0.756737;
0.003830;0.510264;0.641162;0.116530;-0.757692;
0.003840;0.506117;0.639573;0.119067;-0.758640;
0.003850;0.501966;0.637978;0.121603;-0.759580;
0.003860;0.497810;0.636376;0.124137;-0.760513;
0.003870;0.493649;0.634769;0.126670;-0.761439;
0.003880;0.489483;0.633155;0.129202;-0.762356;
0.003890;0.485313;0.631534;0.131732;-0.763267;
0.003900;0.481137;0.629908;0.134262;-0.764170;
0.003910;0.476957;0.628275;0.136789;-0.765065;
0.003920;0.472772;0.626636;0.139316;-0.765952;
0.003930;0.468583;0.624991;0.141841;-0.766833;
0.003940;0.464388;0.623340;0.144365;-0.767705;
0.003950;0.460190;0.621683;0.146887;-0.768570;
0.003960;0.455986;0.620019;0.149408;-0.769427;
0.003970;0.451778;0.618350;0.151928;-0.770277;
0.003980;0.447566;0.616674;0.154446;-0.771119;
0.003990;0.443349;0.614992;0.156962;-0.771954;
0.004000;0.439128;0.613304;0.159477;-0.772781;
0.004010;0.434903;0.611610;0.161990;-0.773600;
0.004020;0.430673;0.609910;0.164502;-0.774412;
0.004030;0.426439;0.608204;0.167012;-0.775216;
0.004040;0.422201;0.606492;0.169520;-0.776013;
0.004050;0.417959;0.604774;0.172027;-0.776801;
0.004060;0.413712;0.603050;0.174532;-0.777582;
0.004070;0.409462;0.601320;0.177035;-0.778356;
0.004080;0.405207;0.599584;0.179537;-0.779121;
0.004090;0.400948;0.597843;0.182037;-0.779880;
0.004100;0.396686;0.596095;0.184535;-0.780630;
0.004110;0.392419;0.594341;0.187031;-0.781372;
0.004120;0.388149;0.592582;0.189525;-0.782107;
0.004130;0.383875;0.590817;0.192018;-0.782835;
0.004140;0.379597;0.589046;0.194508;-0.783554;
0.004150;0.375315;0.587269;0.196997;-0.784266;
0.004160;0.371030;0.585486;0.199484;-0.784970;
0.004170;0.366741;0.583698;0.201969;-0.785666;
0.004180;0.362448;0.581903;0.204451;-0.786355;
0.004190;0.358152;0.580103;0.206932;-0.787035;
0.004200;0.353852;0.578298;0.209411;-0.787708;
0.004210;0.349549;0.576486;0.211887;-0.788374;
0.004220;0.345242;0.574669;0.214362;-0.789031;
0.004230;0.340932;0.572846;0.216834;-0.789681;
0.004240;0.336618;0.571018;0.219305;-0.790322;
0.004250;0.332301;0.569184;0.221773;-0.790956;
0.004260;0.327981;0.567344;0.224239;-0.791583;
0.004270;0.323658;0.565499;0.226702;-0.792201;
0.004280;0.319331;0.563648;0.229164;-0.792812;
0.004290;0.315002;0.561791;0.231623;-0.793414;
0.004300;0.310669;0.559929;0.234080;-0.794009;
0.004310;0.306333;0.558062;0.236535;-0.794597;
0.004320;0.301994;0.556189;0.238987;-0.795176;
0.004330;0.297652;0.554310;0.241437;-0.795747;
0.004340;0.293307;0.552426;0.243884;-0.796311;
0.004350;0.288959;0.550537;0.246329;-0.796866;
0.004360;0.284609;0.548642;0.248772;-0.797414;
0.004370;0.280256;0.546742;0.251212;-0.797954;
0.004380;0.275899;0.544836;0.253650;-0.798486;
0.004390;0.271541;0.542925;0.256085;-0.799011;
0.004400;0.267179;0.541009;0.258518;-0.799527;
0.004410;0.262815;0.539087;0.260948;-0.800035;
0.004420;0.258448;0.537160;0.263376;-0.800536;
0.004430;0.254079;0.535228;0.265801;-0.801028;
0.004440;0.249707;0.533290;0.268223;-0.801513;
0.004450;0.245333;0.531347;0.270643;-0.801990;
0.004460;0.240956;0.529399;0.273060;-0.802459;
0.004470;0.236577;0.527445;0.275474;-0.802920;
0.004480;0.232195;0.525487;0.277886;-0.803373;
0.004490;0.227812;0.523523;0.280295;-0.803818;
0.004500;0.223426;0.521554;0.282701;-0.804255;
0.004510;0.219037;0.519580;0.285105;-0.804685;
0.004520;0.214647;0.517601;0.287505;-0.805106;
0.004530;0.210255;0.515617;0.289903;-0.805519;
0.004540;0.205860;0.513627;0.292298;-0.805925;
0.004550;0.201463;0.511633;0.294690;-0.806322;
0.004560;0.197065;0.509633;0.297079;-0.806712;
0.004570;0.192664;0.507629;0.299465;-0.807093;
0.004580;0.188262;0.505619;0.301848;-0.807467;
0.004590;0.183858;0.503604;0.304228;-0.807832;
0.004600;0.179452;0.501585;0.306605;-0.808190;
0.004610;0.175044;0.499560;0.308979;-0.808540;
0.004620;0.170634;0.497531;0.311351;-0.808881;
0.004630;0.166223;0.495497;0.313719;-0.809215;
0.004640;0.161810;0.493457;0.316083;-0.809541;
0.004650;0.157396;0.491413;0.318445;-0.809859;
0.004660;0.152980;0.489364;0.320804;-0.810168;
0.004670;0.148562;0.487311;0.323159;-0.810470;
0.004680;0.144143;0.485252;0.325512;-0.810764;
0.004690;0.139722;0.483189;0.327861;-0.811050;
0.004700;0.135301;0.481120;0.330207;-0.811327;
0.004710;0.130878;0.479048;0.332549;-0.811597;
0.004720;0.126453;0.476970;0.334889;-0.811859;
0.004730;0.122027;0.474888;0.337225;-0.812112;
0.004740;0.117600;0.472801;0.339557;-0.812358;
0.004750;0.113172;0.470709;0.341887;-0.812596;
0.004760;0.108743;0.468613;0.344213;-0.812825;
0.004770;0.104313;0.466512;0.346535;-0.813047;
0.004780;0.099882;0.464406;0.348854;-0.813261;
0.004790;0.095449;0.462296;0.351170;-0.813466;
0.004800;0.091016;0.460181;0.353482;-0.813664;
0.004810;0.086582;0.458062;0.355791;-0.813853;
0.004820;0.082147;0.455938;0.358096;-0.814035;
0.004830;0.077711;0.453810;0.360398;-0.814208;
0.004840;0.073275;0.451677;0.362696;-0.814374;
0.004850;0.068837;0.449540;0.364991;-0.814531;
0.004860;0.064400;0.447399;0.367282;-0.814680;
0.004870;0.059961;0.445253;0.369569;-0.814822;
0.004880;0.055522;0.443102;0.371853;-0.814955;
0.004890;0.051082;0.440947;0.374133;-0.815080;
0.004900;0.046642;0.438788;0.376409;-0.815197;
0.004910;0.042201;0.436625;0.378682;-0.815306;
0.004920;0.037760;0.434457;0.380951;-0.815407;
0.004930;0.033319;0.432285;0.383216;-0.815500;
