time;GEN_A1_generator_omegaPu;GEN_A1_generator_PGen;GEN_A1_generator_QGen;GEN_A1_generator_UStatorPu;GEN_A1_voltageRegulator_EfdPu;GEN_A2_generator_omegaPu;GEN_A2_generator_PGen;GEN_A2_generator_QGen;GEN_A2_generator_UStatorPu;GEN_B1_generator_omegaPu;GEN_B1_generator_PGen;GEN_B1_generator_QGen;GEN_B1_generator_UStatorPu;GEN_B1_voltageRegulator_EfdPu;GEN_B2_generator_omegaPu;GEN_B2_generator_PGen;GEN_B2_generator_QGen;GEN_B2_generator_UStatorPu;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_2_value;NETWORK_A_HV1_Upu_value;NETWORK_A_HV2_Upu_value;NETWORK_A_HV3_Upu_value;NETWORK_B_HV1_Upu_value;NETWORK_B_HV2_Upu_value;NETWORK_A_LD1_Upu_value;NETWORK_B_LD2_Upu_value;NETWORK_A_HV1_numcc_value;NETWORK_B_HV1_numcc_value;
1.163840;1.000520;746.832862;-3.372373;1.007558;2.092138;1.000828;153.171573;23.501422;1.016424;0.999463;451.120566;37.005886;0.999673;1.596697;0.999197;106.875588;12.520391;1.002056;1.000576;0.999415;1.000576;0.999415;1.005673;1.005244;1.005442;0.995535;0.996109;0.992535;0.988699;0.000000;1.000000;
1.229376;1.000731;744.828763;-3.324124;1.007442;2.094442;1.001004;155.029147;23.318941;1.016297;0.999248;452.789099;37.283632;1.000158;1.586996;0.998976;105.598725;12.342404;1.002350;1.000780;0.999199;1.000780;0.999199;1.005564;1.005143;1.005339;0.995992;0.996499;0.992428;0.989085;0.000000;1.000000;
1.294912;1.000944;743.751671;-3.282252;1.007210;2.099097;1.001087;155.804937;23.204951;1.016043;0.999032;453.965086;37.498301;1.000602;1.578103;0.998836;104.790019;12.210960;1.002657;1.000970;0.998996;1.000970;0.998996;1.005333;1.004911;1.005109;0.996415;0.996875;0.992199;0.989458;0.000000;1.000000;
1.360448;1.001153;743.576927;-3.289376;1.006946;2.104375;1.001171;155.642729;23.200238;1.015776;0.998817;454.485554;37.687126;1.000989;1.570367;0.998713;104.591912;12.080890;1.002936;1.001156;0.998798;1.001156;0.998798;1.005069;1.004647;1.004845;0.996785;0.997212;0.991939;0.989792;0.000000;1.000000;
1.425984;1.001356;744.033690;-3.345220;1.006682;2.109648;1.001287;154.855029;23.286600;1.015533;0.998608;454.443610;37.861122;1.001313;1.563887;0.998583;104.904285;11.942629;1.003171;1.001343;0.998603;1.001343;0.998603;1.004806;1.004385;1.004583;0.997096;0.997499;0.991680;0.990077;0.000000;1.000000;
1.491520;1.001553;744.732996;-3.423668;1.006438;2.114538;1.001431;153.852452;23.412099;1.015322;0.998403;454.120555;38.026444;1.001590;1.558343;0.998439;105.458039;11.799728;1.003368;1.001531;0.998409;1.001531;0.998409;1.004563;1.004144;1.004340;0.997361;0.997746;0.991440;0.990321;0.000000;1.000000;
1.557056;1.001742;745.549909;-3.517208;1.006235;2.118591;1.001612;152.788229;23.560909;1.015162;0.998204;453.560265;38.177444;1.001803;1.554088;0.998274;106.193563;11.657001;1.003510;1.001719;0.998217;1.001719;0.998217;1.004362;1.003948;1.004141;0.997563;0.997935;0.991243;0.990508;0.000000;1.000000;
1.688128;1.002101;746.628322;-3.655704;1.006031;2.122680;1.002040;151.467548;23.772950;1.015025;0.997827;452.484772;38.407916;1.002018;1.549798;0.997883;107.437992;11.419915;1.003614;1.002090;0.997837;1.002090;0.997837;1.004163;1.003755;1.003944;0.997762;0.998114;0.991046;0.990686;0.000000;1.000000;
1.819200;1.002432;746.466927;-3.629793;1.006132;2.120646;1.002454;151.755713;23.735974;1.015116;0.997482;452.158822;38.466035;1.001915;1.551843;0.997470;107.664613;11.339061;1.003471;1.002436;0.997480;1.002436;0.997480;1.004264;1.003855;1.004044;0.997656;0.997998;0.991146;0.990571;0.000000;1.000000;
1.924943;1.002691;746.232208;-3.553779;1.006250;2.118292;1.002728;152.128466;23.643612;1.015193;0.997214;452.152800;38.443379;1.001770;1.554750;0.997177;107.541134;11.343642;1.003328;1.002698;0.997207;1.002698;0.997207;1.004377;1.003962;1.004154;0.997511;0.997854;0.991257;0.990429;0.000000;1.000000;
