time;GEN_generator_delta;GEN_generator_omegaPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;
2.404390;0.293241;0.994521;0.838613;0.026666;0.996009;
2.407971;0.287036;0.994443;0.821365;0.027402;0.996452;
2.411551;0.280748;0.994373;0.803852;0.028132;0.996891;
2.415132;0.274388;0.994313;0.786105;0.028854;0.997326;
2.418355;0.268609;0.994266;0.769953;0.029497;0.997712;
2.421577;0.262786;0.994227;0.753653;0.030131;0.998093;
2.424800;0.256928;0.994196;0.737228;0.030754;0.998468;
2.428022;0.251042;0.994172;0.720700;0.031367;0.998836;
2.431245;0.245136;0.994156;0.704089;0.031968;0.999197;
2.434467;0.239217;0.994147;0.687418;0.032557;0.999551;
2.437690;0.233293;0.994147;0.670711;0.033131;0.999895;
2.440913;0.227373;0.994153;0.653988;0.033691;1.000232;
