time;NETWORK_B1_v_a;NETWORK_B1_Urms;NETWORK_LINE_i_a;NETWORK_LINE_Irms;
0.003120;0.884360;0.988870;0.378974;0.500153;
0.003130;0.881183;0.988973;0.376685;0.499998;
0.003140;0.877970;0.989063;0.374388;0.499842;
0.003150;0.874723;0.989142;0.372083;0.499686;
0.003160;0.871442;0.989209;0.369773;0.499530;
0.003170;0.868129;0.989266;0.367456;0.499374;
0.003180;0.864782;0.989311;0.365134;0.499218;
0.003190;0.861403;0.989346;0.362806;0.499063;
0.003200;0.857993;0.989371;0.360475;0.498908;
0.003210;0.854551;0.989386;0.358139;0.498754;
0.003220;0.851079;0.989392;0.355799;0.498601;
0.003230;0.847577;0.989388;0.353457;0.498449;
0.003240;0.844046;0.989376;0.351111;0.498299;
0.003250;0.840487;0.989355;0.348764;0.498149;
0.003260;0.836899;0.989325;0.346415;0.498002;
0.003270;0.833283;0.989288;0.344064;0.497855;
0.003280;0.829641;0.989243;0.341712;0.497711;
0.003290;0.825973;0.989190;0.339360;0.497569;
0.003300;0.822279;0.989131;0.337007;0.497428;
0.003310;0.818560;0.989065;0.334655;0.497290;
0.003320;0.814817;0.988992;0.332303;0.497154;
0.003330;0.811050;0.988914;0.329952;0.497020;
0.003340;0.807260;0.988829;0.327601;0.496889;
0.003350;0.803447;0.988739;0.325253;0.496760;
0.003360;0.799613;0.988644;0.322906;0.496633;
0.003370;0.795757;0.988544;0.320561;0.496509;
0.003380;0.791881;0.988440;0.318219;0.496388;
0.003390;0.787986;0.988331;0.315879;0.496269;
0.003400;0.784070;0.988218;0.313542;0.496153;
0.003410;0.780137;0.988101;0.311208;0.496040;
0.003420;0.776185;0.987981;0.308877;0.495930;
0.003430;0.772215;0.987858;0.306550;0.495822;
0.003440;0.768229;0.987732;0.304226;0.495718;
0.003450;0.764227;0.987602;0.301907;0.495616;
0.003460;0.760209;0.987471;0.299591;0.495517;
0.003470;0.756176;0.987337;0.297280;0.495421;
0.003480;0.752128;0.987202;0.294973;0.495329;
0.003490;0.748067;0.987064;0.292671;0.495238;
0.003500;0.743992;0.986925;0.290374;0.495151;
0.003510;0.739905;0.986785;0.288081;0.495067;
0.003520;0.735806;0.986644;0.285794;0.494986;
0.003530;0.731694;0.986502;0.283511;0.494908;
0.003540;0.727572;0.986359;0.281234;0.494832;
0.003550;0.723439;0.986216;0.278962;0.494759;
0.003560;0.719297;0.986073;0.276695;0.494690;
0.003570;0.715144;0.985929;0.274434;0.494623;
0.003580;0.710983;0.985786;0.272178;0.494558;
0.003590;0.706813;0.985643;0.269928;0.494497;
0.003600;0.702635;0.985500;0.267683;0.494438;
0.003610;0.698450;0.985358;0.265444;0.494382;
0.003620;0.694258;0.985217;0.263210;0.494329;
0.003630;0.690058;0.985077;0.260982;0.494278;
0.003640;0.685853;0.984937;0.258760;0.494230;
0.003650;0.681642;0.984799;0.256543;0.494185;
0.003660;0.677425;0.984662;0.254332;0.494141;
0.003670;0.673204;0.984527;0.252126;0.494101;
0.003680;0.668978;0.984393;0.249926;0.494062;
0.003690;0.664748;0.984261;0.247732;0.494027;
0.003700;0.660514;0.984131;0.245543;0.493993;
0.003710;0.656277;0.984002;0.243359;0.493961;
0.003720;0.652036;0.983875;0.241181;0.493932;
0.003730;0.647793;0.983751;0.239008;0.493905;
0.003740;0.643548;0.983628;0.236841;0.493880;
0.003750;0.639300;0.983508;0.234678;0.493857;
0.003760;0.635051;0.983390;0.232521;0.493836;
0.003770;0.630800;0.983274;0.230369;0.493817;
0.003780;0.626548;0.983161;0.228222;0.493800;
0.003790;0.622295;0.983050;0.226080;0.493784;
0.003800;0.618041;0.982941;0.223942;0.493770;
0.003810;0.613787;0.982836;0.221810;0.493758;
0.003820;0.609533;0.982732;0.219681;0.493748;
0.003830;0.605279;0.982631;0.217558;0.493739;
0.003840;0.601025;0.982533;0.215438;0.493732;
0.003850;0.596771;0.982437;0.213323;0.493726;
0.003860;0.592519;0.982345;0.211212;0.493721;
0.003870;0.588267;0.982254;0.209106;0.493718;
0.003880;0.584016;0.982167;0.207003;0.493716;
0.003890;0.579766;0.982082;0.204903;0.493715;
0.003900;0.575518;0.982000;0.202808;0.493716;
0.003910;0.571271;0.981920;0.200716;0.493717;
0.003920;0.567026;0.981843;0.198627;0.493720;
