time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_edPPu;GEN_generator_eqPPPu;GEN_generator_edPPPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_psiAgPu;GEN_generator_psiArgPu;GEN_generator_satDPu;GEN_generator_satQPu;GEN_generator_UPu;
1.010035;0.955218;1.000962;0.847186;0.562634;0.697848;0.575995;0.000000;0.000000;0.617619;0.782284;1.000068;1.000065;0.000000;
1.010957;0.955507;1.001038;0.846990;0.561957;0.691815;0.567653;0.000000;0.000000;0.610860;0.773724;1.000029;1.000028;0.000000;
1.011878;0.955819;1.001115;0.846778;0.561231;0.685964;0.559500;0.000000;0.000000;0.604352;0.765481;1.000355;1.000337;0.000000;
1.012800;0.956153;1.001191;0.846551;0.560458;0.680288;0.551530;0.000000;0.000000;0.598082;0.757538;1.001017;1.000967;0.000000;
1.013721;0.956509;1.001268;0.846308;0.559638;0.674782;0.543737;0.000000;0.000000;0.592037;0.749882;1.001990;1.001890;0.000000;
1.014643;0.956887;1.001344;0.846050;0.558773;0.669441;0.536117;0.000000;0.000000;0.586206;0.742496;1.003248;1.003086;0.000000;
1.015565;0.957287;1.001421;0.845777;0.557864;0.664261;0.528664;0.000000;0.000000;0.580579;0.735369;1.004770;1.004532;0.000000;
1.016486;0.957710;1.001497;0.845490;0.556912;0.659235;0.521375;0.000000;0.000000;0.575146;0.728487;1.006534;1.006207;0.000000;
1.017408;0.958154;1.001574;0.845188;0.555919;0.654361;0.514245;0.000000;0.000000;0.569898;0.721841;1.008520;1.008094;0.000000;
1.018329;0.958621;1.001650;0.844872;0.554885;0.649633;0.507269;0.000000;0.000000;0.564827;0.715418;1.010711;1.010175;0.000000;
1.019251;0.959110;1.001727;0.844543;0.553811;0.645048;0.500444;0.000000;0.000000;0.559926;0.709209;1.013089;1.012435;0.000000;
1.020173;0.959621;1.001803;0.844200;0.552698;0.640601;0.493766;0.000000;0.000000;0.555185;0.703205;1.015639;1.014857;0.000000;
1.021094;0.960154;1.001880;0.843844;0.551548;0.636289;0.487231;0.000000;0.000000;0.550600;0.697397;1.018345;1.017428;0.000000;
1.022016;0.960710;1.001956;0.843475;0.550360;0.632107;0.480836;0.000000;0.000000;0.546163;0.691777;1.021194;1.020134;0.000000;
1.022937;0.961287;1.002033;0.843093;0.549137;0.628053;0.474577;0.000000;0.000000;0.541868;0.686338;1.024172;1.022964;0.000000;
1.023859;0.961887;1.002109;0.842699;0.547878;0.624122;0.468451;0.000000;0.000000;0.537710;0.681071;1.027268;1.025904;0.000000;
1.024781;0.962508;1.002186;0.842293;0.546585;0.620312;0.462455;0.000000;0.000000;0.533684;0.675971;1.030469;1.028946;0.000000;
