time;NETWORK_B1_v_a;
0.009570;-1.401207;
0.009580;-1.401021;
0.009590;-1.400450;
0.009600;-1.399510;
0.009610;-1.398220;
0.009620;-1.396599;
0.009630;-1.394673;
0.009640;-1.392467;
0.009650;-1.390011;
0.009660;-1.387334;
0.009670;-1.384470;
0.009680;-1.381451;
0.009690;-1.378315;
0.009700;-1.375095;
0.009710;-1.371829;
0.009720;-1.368552;
0.009730;-1.365302;
0.009740;-1.362113;
0.009750;-1.359021;
0.009760;-1.356060;
0.009770;-1.353261;
0.009780;-1.350656;
0.009790;-1.348273;
0.009800;-1.346138;
0.009810;-1.344276;
0.009820;-1.342707;
0.009830;-1.341450;
0.009840;-1.340520;
0.009850;-1.339930;
0.009860;-1.339688;
0.009870;-1.339800;
0.009880;-1.340269;
0.009890;-1.341093;
0.009900;-1.342268;
0.009910;-1.343788;
0.009920;-1.345639;
0.009930;-1.347810;
0.009940;-1.350283;
0.009950;-1.353039;
0.009960;-1.356055;
0.009970;-1.359307;
0.009980;-1.362769;
0.009990;-1.366411;
0.010000;-1.370204;
0.010010;-1.374115;
0.010020;-1.378113;
0.010030;-1.382164;
0.010040;-1.386235;
0.010050;-1.390290;
0.010060;-1.394297;
0.010070;-1.398222;
0.010080;-1.402032;
0.010090;-1.405696;
0.010100;-1.409183;
0.010110;-1.412465;
0.010120;-1.415515;
0.010130;-1.418309;
0.010140;-1.420823;
0.010150;-1.423039;
0.010160;-1.424938;
0.010170;-1.426506;
0.010180;-1.427732;
0.010190;-1.428607;
0.010200;-1.429125;
0.010210;-1.429285;
0.010220;-1.429086;
0.010230;-1.428533;
0.010240;-1.427633;
0.010250;-1.426395;
0.010260;-1.424832;
0.010270;-1.422960;
0.010280;-1.420797;
0.010290;-1.418363;
0.010300;-1.415681;
0.010310;-1.412776;
0.010320;-1.409675;
0.010330;-1.406405;
0.010340;-1.402995;
0.010350;-1.399477;
0.010360;-1.395881;
0.010370;-1.392239;
0.010380;-1.388582;
0.010390;-1.384942;
0.010400;-1.381351;
0.010410;-1.377838;
0.010420;-1.374434;
0.010430;-1.371166;
0.010440;-1.368061;
0.010450;-1.365145;
0.010460;-1.362440;
0.010470;-1.359968;
0.010480;-1.357747;
0.010490;-1.355794;
0.010500;-1.354123;
0.010510;-1.352743;
0.010520;-1.351665;
0.010530;-1.350892;
0.010540;-1.350427;
0.010550;-1.350270;
0.010560;-1.350417;
0.010570;-1.350862;
0.010580;-1.351596;
0.010590;-1.352607;
0.010600;-1.353881;
0.010610;-1.355402;
0.010620;-1.357149;
0.010630;-1.359103;
0.010640;-1.361240;
0.010650;-1.363535;
0.010660;-1.365963;
0.010670;-1.368495;
0.010680;-1.371105;
0.010690;-1.373762;
0.010700;-1.376438;
0.010710;-1.379102;
0.010720;-1.381726;
0.010730;-1.384281;
0.010740;-1.386737;
0.010750;-1.389067;
0.010760;-1.391246;
0.010770;-1.393247;
0.010780;-1.395047;
0.010790;-1.396625;
0.010800;-1.397961;
0.010810;-1.399036;
0.010820;-1.399837;
0.010830;-1.400350;
0.010840;-1.400564;
0.010850;-1.400472;
0.010860;-1.400069;
0.010870;-1.399352;
0.010880;-1.398322;
0.010890;-1.396982;
0.010900;-1.395337;
0.010910;-1.393396;
0.010920;-1.391169;
0.010930;-1.388671;
0.010940;-1.385915;
0.010950;-1.382920;
0.010960;-1.379706;
0.010970;-1.376294;
0.010980;-1.372706;
0.010990;-1.368967;
0.011000;-1.365103;
0.011010;-1.361139;
0.011020;-1.357104;
0.011030;-1.353023;
0.011040;-1.348925;
0.011050;-1.344838;
0.011060;-1.340787;
0.011070;-1.336801;
0.011080;-1.332905;
0.011090;-1.329123;
0.011100;-1.325479;
0.011110;-1.321995;
0.011120;-1.318692;
0.011130;-1.315588;
0.011140;-1.312699;
0.011150;-1.310040;
0.011160;-1.307624;
0.011170;-1.305459;
0.011180;-1.303554;
0.011190;-1.301914;
0.011200;-1.300540;
0.011210;-1.299432;
0.011220;-1.298588;
0.011230;-1.298004;
0.011240;-1.297670;
0.011250;-1.297577;
0.011260;-1.297714;
0.011270;-1.298065;
0.011280;-1.298615;
0.011290;-1.299345;
0.011300;-1.300236;
0.011310;-1.301266;
0.011320;-1.302413;
0.011330;-1.303653;
0.011340;-1.304961;
0.011350;-1.306313;
0.011360;-1.307683;
0.011370;-1.309045;
0.011380;-1.310373;
0.011390;-1.311643;
0.011400;-1.312829;
0.011410;-1.313908;
0.011420;-1.314856;
0.011430;-1.315651;
0.011440;-1.316273;
0.011450;-1.316702;
0.011460;-1.316922;
0.011470;-1.316916;
0.011480;-1.316671;
0.011490;-1.316177;
0.011500;-1.315422;
0.011510;-1.314401;
0.011520;-1.313109;
0.011530;-1.311543;
0.011540;-1.309703;
0.011550;-1.307592;
0.011560;-1.305215;
0.011570;-1.302578;
0.011580;-1.299691;
0.011590;-1.296564;
0.011600;-1.293212;
0.011610;-1.289649;
0.011620;-1.285892;
0.011630;-1.281959;
0.011640;-1.277871;
0.011650;-1.273648;
0.011660;-1.269312;
0.011670;-1.264887;
0.011680;-1.260395;
0.011690;-1.255861;
0.011700;-1.251308;
0.011710;-1.246760;
0.011720;-1.242241;
0.011730;-1.237775;
0.011740;-1.233383;
0.011750;-1.229088;
0.011760;-1.224910;
0.011770;-1.220868;
0.011780;-1.216981;
0.011790;-1.213264;
0.011800;-1.209732;
0.011810;-1.206399;
0.011820;-1.203274;
0.011830;-1.200367;
0.011840;-1.197684;
0.011850;-1.195231;
0.011860;-1.193008;
0.011870;-1.191017;
0.011880;-1.189255;
0.011890;-1.187719;
0.011900;-1.186401;
0.011910;-1.185293;
0.011920;-1.184386;
0.011930;-1.183666;
0.011940;-1.183120;
0.011950;-1.182733;
0.011960;-1.182487;
0.011970;-1.182363;
0.011980;-1.182343;
0.011990;-1.182406;
0.012000;-1.182531;
0.012010;-1.182695;
0.012020;-1.182877;
0.012030;-1.183055;
0.012040;-1.183206;
0.012050;-1.183307;
