time;CAPBUS_cap_p_v_0_;MACHINE_generator_terminal_i_0_;MACHINE_generator_omegaPu;MACHINE_generator_UStatorPu;MACHINE_generator_efdPu;MACHINE_generator_ifPu;MACHINE_voltageRegulator_EfdPu;
0.002800;0.992753;-0.647685;0.999993;0.978683;0.301069;0.950081;0.301069;
0.002820;0.989136;-0.642422;0.999993;0.974467;0.385398;0.949691;0.385398;
0.002840;0.985373;-0.637220;0.999993;0.969796;0.478811;0.949326;0.478811;
0.002860;0.981391;-0.632083;0.999993;0.964799;0.578742;0.948990;0.578742;
0.002880;0.977120;-0.627015;0.999993;0.959608;0.682573;0.948686;0.682573;
0.002900;0.972494;-0.622015;0.999993;0.954351;0.787711;0.948414;0.787711;
0.002920;0.967453;-0.617082;0.999993;0.949153;0.891669;0.948176;0.891669;
0.002940;0.961946;-0.612214;0.999993;0.944130;0.992137;0.947972;0.992137;
0.002960;0.955930;-0.607405;0.999993;0.939384;1.087046;0.947801;1.087046;
0.002980;0.949374;-0.602648;0.999993;0.935005;1.174629;0.947661;1.174629;
0.003000;0.942261;-0.597937;0.999993;0.931063;1.253464;0.947550;1.253464;
0.003020;0.934586;-0.593263;0.999993;0.927611;1.322515;0.947465;1.322515;
0.003040;0.926358;-0.588617;0.999993;0.924679;1.381152;0.947403;1.381152;
0.003060;0.917601;-0.583990;0.999993;0.922279;1.429159;0.947361;1.429159;
0.003080;0.908350;-0.579374;0.999993;0.920400;1.466740;0.947335;1.466740;
0.003100;0.898655;-0.574761;0.999993;0.919012;1.494493;0.947321;1.494493;
0.003120;0.888575;-0.570142;0.999993;0.918067;1.513385;0.947316;1.513385;
0.003140;0.878180;-0.565512;0.999993;0.917501;1.524716;0.947317;1.524716;
0.003160;0.867549;-0.560864;0.999993;0.917234;1.530058;0.947322;1.530058;
0.003180;0.856765;-0.556196;0.999993;0.917176;1.531203;0.947329;1.531203;
0.003200;0.845915;-0.551505;0.999993;0.917232;1.530091;0.947335;1.530091;
0.003220;0.835088;-0.546790;0.999993;0.917300;1.528739;0.947342;1.528739;
0.003240;0.824371;-0.542052;0.999993;0.917278;1.529166;0.947349;1.529166;
0.003260;0.813848;-0.537292;0.999993;0.917071;1.533315;0.947356;1.533315;
0.003280;0.803597;-0.532516;0.999993;0.916587;1.542985;0.947367;1.542985;
0.003300;0.793689;-0.527726;0.999993;0.915749;1.559756;0.947384;1.559756;
0.003320;0.784184;-0.522931;0.999993;0.914490;1.584935;0.947410;1.584935;
0.003340;0.775131;-0.518135;0.999993;0.912762;1.619498;0.947448;1.619498;
0.003360;0.766568;-0.513347;0.999993;0.910534;1.664052;0.947504;1.664052;
0.003380;0.758518;-0.508573;0.999993;0.907796;1.718804;0.947581;1.718804;
0.003400;0.750991;-0.503820;0.999993;0.904559;1.783545;0.947685;1.783545;
0.003420;0.743983;-0.499097;0.999993;0.900854;1.857650;0.947819;1.857650;
0.003440;0.737476;-0.494409;0.999993;0.896732;1.940086;0.947989;1.940086;
0.003460;0.731442;-0.489761;0.999993;0.892265;2.029440;0.948198;2.029440;
0.003480;0.725837;-0.485157;0.999993;0.887539;2.123952;0.948449;2.123952;
0.003500;0.720609;-0.480601;0.999993;0.882658;2.221569;0.948745;2.221569;
0.003520;0.715699;-0.476093;0.999993;0.877737;2.320000;0.949088;2.320000;
0.003540;0.711039;-0.471632;0.999993;0.872897;2.416786;0.949478;2.416786;
0.003560;0.706558;-0.467217;0.999993;0.868268;2.509369;0.949914;2.509369;
0.003580;0.702183;-0.462842;0.999993;0.863978;2.595176;0.950395;2.595176;
0.003600;0.697839;-0.458503;0.999992;0.860152;2.671688;0.950918;2.671688;
0.003620;0.693456;-0.454190;0.999992;0.856910;2.736526;0.951480;2.736526;
0.003640;0.688968;-0.449896;0.999992;0.854361;2.787521;0.952073;2.787521;
0.003660;0.684314;-0.445610;0.999992;0.852597;2.822783;0.952693;2.822783;
0.003680;0.679443;-0.441319;0.999992;0.851698;2.840765;0.953332;2.840765;
0.003700;0.674312;-0.437011;0.999992;0.851721;2.840308;0.953982;2.840308;
0.003720;0.668890;-0.432674;0.999992;0.852702;2.820687;0.954635;2.820687;
0.003740;0.663159;-0.428293;0.999992;0.854655;2.781638;0.955280;2.781638;
0.003760;0.657109;-0.423856;0.999992;0.857568;2.723367;0.955910;2.723367;
0.003780;0.650746;-0.419349;0.999992;0.861409;2.646554;0.956514;2.646554;
0.003800;0.644086;-0.414761;0.999992;0.866120;2.552336;0.957083;2.552336;
0.003820;0.637157;-0.410079;0.999992;0.871622;2.442283;0.957609;2.442283;
0.003840;0.629995;-0.405295;0.999992;0.877819;2.318350;0.958084;2.318350;
0.003860;0.622647;-0.400400;0.999991;0.884595;2.182830;0.958501;2.182830;
0.003880;0.615166;-0.395387;0.999991;0.891822;2.038292;0.958853;2.038292;
0.003900;0.607608;-0.390251;0.999991;0.899361;1.887506;0.959136;1.887506;
0.003920;0.600036;-0.384990;0.999991;0.907068;1.733369;0.959347;1.733369;
0.003940;0.592510;-0.379602;0.999991;0.914795;1.578827;0.959482;1.578827;
0.003960;0.585090;-0.374090;0.999991;0.922397;1.426791;0.959542;1.426791;
0.003980;0.577834;-0.368456;0.999991;0.929733;1.280062;0.959527;1.280062;
0.004000;0.570792;-0.362706;0.999991;0.936674;1.141252;0.959440;1.141252;
0.004020;0.564009;-0.356846;0.999991;0.943101;1.012718;0.959283;1.012718;
0.004040;0.557519;-0.350884;0.999990;0.948912;0.896499;0.959062;0.896499;
0.004060;0.551348;-0.344831;0.999990;0.954023;0.794267;0.958781;0.794267;
0.004080;0.545509;-0.338696;0.999990;0.958372;0.707286;0.958449;0.707286;
0.004100;0.540004;-0.332491;0.999990;0.961917;0.636387;0.958071;0.636387;
0.004120;0.534822;-0.326228;0.999990;0.964639;0.581953;0.957657;0.581953;
0.004140;0.529940;-0.319919;0.999990;0.966540;0.543922;0.957213;0.543922;
0.004160;0.525323;-0.313574;0.999990;0.967647;0.521794;0.956748;0.521794;
0.004180;0.520928;-0.307206;0.999990;0.968003;0.514667;0.956271;0.514667;
0.004200;0.516698;-0.300824;0.999990;0.967673;0.521265;0.955788;0.521265;
0.004220;0.512572;-0.294438;0.999990;0.966737;0.539997;0.955306;0.539997;
0.004240;0.508478;-0.288055;0.999990;0.965286;0.569010;0.954831;0.569010;
0.004260;0.504345;-0.281684;0.999990;0.963424;0.606255;0.954370;0.606255;
0.004280;0.500094;-0.275328;0.999989;0.961259;0.649561;0.953925;0.649561;
0.004300;0.495651;-0.268992;0.999989;0.958901;0.696704;0.953500;0.696704;
0.004320;0.490940;-0.262677;0.999989;0.956462;0.745488;0.953097;0.745488;
0.004340;0.485892;-0.256385;0.999989;0.954046;0.793809;0.952716;0.793809;
0.004360;0.480442;-0.250115;0.999989;0.951750;0.839733;0.952357;0.839733;
0.004380;0.474536;-0.243864;0.999989;0.949659;0.881548;0.952019;0.881548;
0.004400;0.468126;-0.237630;0.999989;0.947845;0.917826;0.951699;0.917826;
0.004420;0.461178;-0.231408;0.999989;0.946364;0.947461;0.951395;0.947461;
