time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_psi1d;GEN_generator_psi2q;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_sePu;GEN_generator_UPu;
1.053248;0.509389;1.004415;0.998218;0.597459;-0.062509;0.000000;0.000000;0.098583;0.000000;
1.054169;0.510678;1.004491;0.997871;0.594764;-0.061029;0.000000;0.000000;0.098308;0.000000;
1.055091;0.511989;1.004568;0.997524;0.592139;-0.059588;0.000000;0.000000;0.098033;0.000000;
1.056013;0.513323;1.004644;0.997176;0.589581;-0.058185;0.000000;0.000000;0.097758;0.000000;
1.056934;0.514678;1.004720;0.996828;0.587089;-0.056821;0.000000;0.000000;0.097483;0.000000;
1.057856;0.516056;1.004796;0.996479;0.584660;-0.055493;0.000000;0.000000;0.097207;0.000000;
1.058777;0.517455;1.004872;0.996129;0.582292;-0.054200;0.000000;0.000000;0.096931;0.000000;
1.059699;0.518877;1.004948;0.995778;0.579985;-0.052943;0.000000;0.000000;0.096655;0.000000;
1.060621;0.520321;1.005024;0.995427;0.577736;-0.051719;0.000000;0.000000;0.096379;0.000000;
1.061542;0.521786;1.005100;0.995075;0.575543;-0.050528;0.000000;0.000000;0.096103;0.000000;
1.062464;0.523274;1.005176;0.994722;0.573406;-0.049369;0.000000;0.000000;0.095826;0.000000;
1.063385;0.524784;1.005252;0.994369;0.571323;-0.048242;0.000000;0.000000;0.095549;0.000000;
1.064307;0.526316;1.005329;0.994016;0.569292;-0.047144;0.000000;0.000000;0.095272;0.000000;
1.065229;0.527869;1.005405;0.993662;0.567311;-0.046076;0.000000;0.000000;0.094995;0.000000;
1.066150;0.529445;1.005481;0.993307;0.565380;-0.045037;0.000000;0.000000;0.094718;0.000000;
1.067072;0.531043;1.005557;0.992952;0.563497;-0.044026;0.000000;0.000000;0.094441;0.000000;
1.067993;0.532663;1.005633;0.992597;0.561661;-0.043042;0.000000;0.000000;0.094164;0.000000;
1.069837;0.535968;1.005785;0.991885;0.558122;-0.041151;0.000000;0.000000;0.093610;0.000000;
1.070000;0.536265;1.005798;0.991822;0.557817;-0.040989;0.000000;0.000000;0.093561;0.000000;
1.070000;0.536265;1.005798;0.991822;0.557817;-0.040989;0.926688;-0.780649;0.093561;0.848481;
1.070001;0.536267;1.005798;0.991822;0.557827;-0.040994;0.926688;-0.780634;0.093561;0.848484;
1.070002;0.536269;1.005798;0.991821;0.557837;-0.041000;0.926689;-0.780619;0.093561;0.848488;
1.070004;0.536273;1.005798;0.991821;0.557857;-0.041011;0.926691;-0.780589;0.093560;0.848494;
1.070008;0.536280;1.005798;0.991820;0.557897;-0.041034;0.926694;-0.780529;0.093560;0.848507;
1.070016;0.536295;1.005798;0.991819;0.557978;-0.041079;0.926700;-0.780409;0.093559;0.848533;
1.070032;0.536324;1.005797;0.991815;0.558138;-0.041170;0.926711;-0.780169;0.093556;0.848586;
1.070064;0.536382;1.005796;0.991809;0.558460;-0.041351;0.926735;-0.779689;0.093551;0.848690;
1.070128;0.536498;1.005794;0.991796;0.559102;-0.041714;0.926782;-0.778730;0.093541;0.848899;
1.070256;0.536731;1.005790;0.991771;0.560384;-0.042438;0.926877;-0.776815;0.093521;0.849315;
1.070512;0.537197;1.005781;0.991719;0.562933;-0.043880;0.927068;-0.772995;0.093481;0.850143;
1.071024;0.538125;1.005765;0.991619;0.567980;-0.046745;0.927452;-0.765400;0.093403;0.851785;
1.072048;0.539974;1.005731;0.991421;0.577868;-0.052399;0.928236;-0.750385;0.093249;0.855006;
1.073072;0.541813;1.005697;0.991228;0.587488;-0.057952;0.929038;-0.735608;0.093100;0.858145;
1.074096;0.543640;1.005663;0.991041;0.596846;-0.063406;0.929856;-0.721070;0.092955;0.861206;
1.075120;0.545456;1.005630;0.990859;0.605950;-0.068762;0.930689;-0.706771;0.092814;0.864189;
1.076144;0.547262;1.005596;0.990682;0.614805;-0.074023;0.931535;-0.692712;0.092677;0.867097;
1.077168;0.549057;1.005561;0.990509;0.623419;-0.079190;0.932395;-0.678893;0.092543;0.869932;
1.078192;0.550840;1.005527;0.990342;0.631798;-0.084266;0.933267;-0.665313;0.092413;0.872696;
1.079216;0.552613;1.005493;0.990179;0.639948;-0.089252;0.934149;-0.651971;0.092287;0.875389;
1.080240;0.554374;1.005458;0.990020;0.647874;-0.094150;0.935041;-0.638867;0.092165;0.878015;
1.081264;0.556124;1.005424;0.989866;0.655584;-0.098962;0.935942;-0.625999;0.092046;0.880574;
1.082288;0.557864;1.005389;0.989716;0.663083;-0.103690;0.936851;-0.613367;0.091930;0.883069;
1.083312;0.559592;1.005354;0.989570;0.670376;-0.108335;0.937767;-0.600967;0.091817;0.885501;
1.084336;0.561308;1.005319;0.989428;0.677469;-0.112898;0.938689;-0.588800;0.091707;0.887872;
1.085360;0.563014;1.005284;0.989289;0.684367;-0.117382;0.939616;-0.576861;0.091601;0.890182;
