time;GEN_generator_delta;GEN_generator_omegaPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;
3.101140;0.271397;1.001302;0.544425;0.045999;1.000377;
3.108071;0.274354;1.001416;0.550207;0.046323;1.000183;
3.114309;0.277222;1.001514;0.555812;0.046640;0.999992;
3.120547;0.280277;1.001606;0.561776;0.046982;0.999787;
3.126785;0.283507;1.001693;0.568077;0.047347;0.999568;
3.132399;0.286554;1.001766;0.574016;0.047695;0.999359;
3.138013;0.289726;1.001834;0.580193;0.048061;0.999140;
3.143627;0.293014;1.001897;0.586588;0.048445;0.998909;
3.149241;0.296407;1.001954;0.593182;0.048845;0.998669;
3.154855;0.299897;1.002006;0.599957;0.049261;0.998419;
3.160469;0.303475;1.002053;0.606894;0.049693;0.998159;
3.166083;0.307129;1.002094;0.613972;0.050139;0.997891;
3.171697;0.310850;1.002129;0.621171;0.050599;0.997614;
3.177311;0.314627;1.002158;0.628470;0.051071;0.997331;
3.182925;0.318451;1.002181;0.635850;0.051554;0.997040;
3.188539;0.322311;1.002199;0.643290;0.052048;0.996742;
3.194153;0.326196;1.002210;0.650769;0.052551;0.996440;
3.199767;0.330096;1.002215;0.658266;0.053061;0.996132;
3.205381;0.333999;1.002215;0.665760;0.053578;0.995821;
3.210995;0.337896;1.002208;0.673232;0.054100;0.995507;
3.216609;0.341777;1.002195;0.680662;0.054625;0.995190;
3.222223;0.345629;1.002177;0.688028;0.055152;0.994872;
3.227837;0.349444;1.002152;0.695313;0.055680;0.994554;
3.233451;0.353211;1.002122;0.702496;0.056207;0.994236;
3.239065;0.356920;1.002086;0.709558;0.056730;0.993920;
3.244679;0.360561;1.002045;0.716482;0.057250;0.993606;
3.250293;0.364125;1.001998;0.723249;0.057763;0.993296;
3.255907;0.367601;1.001946;0.729841;0.058268;0.992991;
3.261521;0.370981;1.001889;0.736242;0.058763;0.992692;
3.267135;0.374256;1.001827;0.742437;0.059248;0.992399;
3.272749;0.377417;1.001760;0.748408;0.059719;0.992114;
3.278363;0.380456;1.001688;0.754143;0.060175;0.991838;
3.283977;0.383365;1.001613;0.759625;0.060616;0.991571;
3.289591;0.386137;1.001533;0.764843;0.061038;0.991316;
3.295205;0.388765;1.001449;0.769783;0.061442;0.991072;
3.300819;0.391241;1.001361;0.774434;0.061824;0.990840;
3.306433;0.393559;1.001270;0.778785;0.062184;0.990622;
