time;GEN1A_generator_omegaPu;GEN1A_generator_PGenPu;GEN1A_generator_UPu;GEN1B_generator_omegaPu;GEN1B_generator_PGenPu;GEN1B_generator_UPu;GEN2A_generator_omegaPu;GEN2A_generator_PGenPu;GEN2A_generator_UPu;GEN2B_generator_omegaPu;GEN2B_generator_PGenPu;GEN2B_generator_UPu;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_1_value;OMEGA_REF_omegaRef_grp_2_value;OMEGA_REF_omegaRef_grp_3_value;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;NETWORK_GEN1A_BUS_numcc_value;NETWORK_GEN2A_BUS_numcc_value;
1.490429;1.006359;4.659150;1.077718;1.006137;3.229318;1.076276;1.006262;4.027808;0.908243;1.005241;3.754563;0.902091;1.006266;1.006266;1.005768;1.005768;1.006266;1.005768;0.000000;1.000000;
1.525207;1.006741;4.660211;1.077691;1.006697;3.228104;1.076275;1.006525;4.044300;0.908505;1.005787;3.745099;0.902919;1.006723;1.006723;1.006168;1.006168;1.006723;1.006168;0.000000;1.000000;
1.555055;1.007074;4.658289;1.077740;1.007169;3.230303;1.076277;1.006728;4.052898;0.908635;1.006280;3.740081;0.903344;1.007114;1.007114;1.006511;1.006511;1.007114;1.006511;0.000000;1.000000;
1.581918;1.007382;4.654619;1.077833;1.007580;3.234495;1.076281;1.006904;4.055871;0.908679;1.006731;3.738332;0.903490;1.007465;1.007465;1.006820;1.006820;1.007465;1.006820;0.000000;1.000000;
1.608782;1.007699;4.649593;1.077961;1.007971;3.240227;1.076285;1.007085;4.054296;0.908657;1.007177;3.739274;0.903414;1.007814;1.007814;1.007130;1.007130;1.007814;1.007130;0.000000;1.000000;
1.635645;1.008029;4.643828;1.078103;1.008340;3.246770;1.076287;1.007281;4.048674;0.908575;1.007608;3.742584;0.903138;1.008160;1.008160;1.007439;1.007439;1.008160;1.007439;0.000000;1.000000;
1.689372;1.008717;4.632494;1.078376;1.009027;3.259556;1.076284;1.007728;4.030446;0.908286;1.008411;3.753070;0.902225;1.008847;1.008847;1.008059;1.008059;1.008847;1.008059;0.000000;1.000000;
1.736553;1.009352;4.624327;1.078567;1.009573;3.268709;1.076276;1.008207;4.008221;0.907907;1.009028;3.765531;0.901087;1.009445;1.009445;1.008604;1.008604;1.009445;1.008604;0.000000;1.000000;
1.783735;1.010007;4.619969;1.078667;1.010082;3.273576;1.076271;1.008780;3.984988;0.907479;1.009550;3.778173;0.899869;1.010039;1.010039;1.009153;1.009153;1.010039;1.009153;0.000000;1.000000;
1.830916;1.010668;4.620438;1.078657;1.010581;3.273054;1.076271;1.009438;3.965853;0.907102;1.009988;3.788288;0.898843;1.010631;1.010631;1.009704;1.009704;1.010631;1.009704;0.000000;1.000000;
1.878098;1.011318;4.625409;1.078542;1.011100;3.267501;1.076278;1.010154;3.954980;0.906878;1.010370;3.793920;0.898252;1.011226;1.011226;1.010259;1.010259;1.011226;1.010259;0.000000;1.000000;
1.925279;1.011946;4.633516;1.078353;1.011659;3.258422;1.076286;1.010892;3.954554;0.906854;1.010730;3.793971;0.898216;1.011825;1.011825;1.010814;1.010814;1.011825;1.010814;0.000000;1.000000;
1.972461;1.012544;4.642355;1.078140;1.012273;3.248446;1.076288;1.011607;3.964892;0.907085;1.011112;3.788815;0.898793;1.012429;1.012429;1.011367;1.011367;1.012429;1.011367;0.000000;1.000000;
2.019642;1.013114;4.649369;1.077967;1.012936;3.240487;1.076285;1.012260;3.983230;0.907452;1.011551;3.779189;0.899781;1.013039;1.013039;1.011917;1.011917;1.013039;1.011917;0.000000;1.000000;
2.066823;1.013669;4.652537;1.077886;1.013630;3.236869;1.076282;1.012828;4.004747;0.907846;1.012075;3.767455;0.900907;1.013652;1.013652;1.012463;1.012463;1.013652;1.012463;0.000000;1.000000;
2.114005;1.014221;4.651286;1.077917;1.014327;3.238293;1.076283;1.013311;4.024649;0.908190;1.012684;3.756351;0.901930;1.014266;1.014266;1.013008;1.013008;1.014266;1.013008;0.000000;1.000000;
2.161186;1.014786;4.646152;1.078045;1.015002;3.244129;1.076286;1.013726;4.038598;0.908416;1.013364;3.748392;0.902634;1.014877;1.014877;1.013551;1.013551;1.014877;1.013551;0.000000;1.000000;
2.208368;1.015373;4.638498;1.078230;1.015637;3.252766;1.076284;1.014103;4.043804;0.908502;1.014084;3.745435;0.902897;1.015484;1.015484;1.014094;1.014094;1.015484;1.014094;0.000000;1.000000;
2.255549;1.015986;4.630567;1.078417;1.016222;3.261674;1.076278;1.014482;4.039015;0.908424;1.014803;3.748170;0.902656;1.016086;1.016086;1.014637;1.014637;1.016086;1.014637;0.000000;1.000000;
2.302731;1.016624;4.624668;1.078554;1.016764;3.268274;1.076272;1.014901;4.025450;0.908200;1.015480;3.755864;0.901968;1.016683;1.016683;1.015181;1.015181;1.016683;1.015181;0.000000;1.000000;
2.349912;1.017274;4.622533;1.078608;1.017283;3.270715;1.076274;1.015391;4.006777;0.907882;1.016085;3.766327;0.901012;1.017278;1.017278;1.015727;1.015727;1.017278;1.015727;0.000000;1.000000;
2.397093;1.017923;4.624443;1.078565;1.017803;3.268581;1.076276;1.015961;3.987209;0.907522;1.016610;3.776983;0.899987;1.017873;1.017873;1.016275;1.016275;1.017873;1.016275;0.000000;1.000000;
2.444275;1.018559;4.629709;1.078442;1.018348;3.262682;1.076281;1.016602;3.971138;0.907208;1.017064;3.785522;0.899128;1.018470;1.018470;1.016826;1.016826;1.018470;1.016826;0.000000;1.000000;
2.491456;1.019173;4.636743;1.078275;1.018932;3.254770;1.076285;1.017292;3.962081;0.907025;1.017470;3.790253;0.898639;1.019071;1.019071;1.017378;1.017378;1.019071;1.017378;0.000000;1.000000;
2.538638;1.019763;4.643691;1.078107;1.019560;3.246932;1.076287;1.018000;3.961860;0.907009;1.017859;3.790235;0.898617;1.019677;1.019677;1.017932;1.017932;1.019677;1.017932;0.000000;1.000000;
2.585819;1.020333;4.648515;1.077988;1.020225;3.241454;1.076285;1.018688;3.970702;0.907202;1.018266;3.785773;0.899107;1.020287;1.020287;1.018484;1.018484;1.020287;1.018484;0.000000;1.000000;
