time;MACHINE_machine_omegaPu;MACHINE_machine_UStatorPu;MACHINE_machine_PGenPu;BUSGEN_bus_p_v_0_;BUSHV_bus_p_v_0_;
0.003660;0.999998;0.817404;0.537843;0.297710;0.385056;
0.003680;0.999998;0.817715;0.540459;0.289482;0.376100;
0.003700;0.999998;0.818261;0.543237;0.281214;0.367094;
0.003720;0.999998;0.819039;0.546173;0.272905;0.358044;
0.003740;0.999998;0.820051;0.549265;0.264552;0.348957;
0.003760;0.999998;0.821294;0.552507;0.256152;0.339839;
0.003780;0.999997;0.822766;0.555896;0.247705;0.330696;
0.003800;0.999997;0.824467;0.559426;0.239207;0.321535;
0.003820;0.999997;0.826393;0.563094;0.230656;0.312362;
0.003840;0.999997;0.828541;0.566892;0.222051;0.303184;
0.003860;0.999997;0.830907;0.570816;0.213391;0.294005;
0.003880;0.999997;0.833489;0.574858;0.204675;0.284832;
0.003900;0.999997;0.836281;0.579012;0.195900;0.275670;
0.003920;0.999997;0.839278;0.583271;0.187067;0.266523;
0.003940;0.999997;0.842476;0.587626;0.178176;0.257396;
0.003960;0.999997;0.845868;0.592071;0.169226;0.248293;
0.003980;0.999996;0.849449;0.596596;0.160219;0.239217;
0.004000;0.999996;0.853212;0.601193;0.151154;0.230173;
0.004020;0.999996;0.857150;0.605852;0.142034;0.221162;
0.004040;0.999996;0.861255;0.610565;0.132859;0.212188;
0.004060;0.999996;0.865520;0.615321;0.123632;0.203251;
0.004080;0.999996;0.869937;0.620111;0.114356;0.194353;
0.004100;0.999996;0.874497;0.624924;0.105033;0.185494;
0.004120;0.999996;0.879192;0.629749;0.095667;0.176676;
0.004140;0.999995;0.884011;0.634575;0.086260;0.167898;
0.004160;0.999995;0.888947;0.639393;0.076818;0.159158;
0.004180;0.999995;0.893989;0.644189;0.067343;0.150458;
0.004200;0.999995;0.899126;0.648954;0.057841;0.141794;
0.004220;0.999995;0.904349;0.653676;0.048317;0.133165;
0.004240;0.999995;0.909648;0.658343;0.038774;0.124569;
0.004260;0.999994;0.915011;0.662944;0.029219;0.116004;
0.004280;0.999994;0.920428;0.667468;0.019656;0.107466;
0.004300;0.999994;0.925887;0.671903;0.010092;0.098954;
0.004320;0.999994;0.931378;0.676238;0.000531;0.090463;
0.004340;0.999994;0.936889;0.680461;-0.009022;0.081990;
0.004360;0.999994;0.942409;0.684563;-0.018560;0.073533;
0.004380;0.999993;0.947926;0.688531;-0.028079;0.065087;
0.004400;0.999993;0.953430;0.692357;-0.037574;0.056649;
0.004420;0.999993;0.958909;0.696029;-0.047038;0.048216;
0.004440;0.999993;0.964351;0.699538;-0.056468;0.039784;
0.004460;0.999993;0.969745;0.702874;-0.065859;0.031351;
0.004480;0.999993;0.975080;0.706029;-0.075207;0.022912;
0.004500;0.999992;0.980346;0.708994;-0.084507;0.014466;
0.004520;0.999992;0.985531;0.711761;-0.093755;0.006009;
0.004540;0.999992;0.990625;0.714322;-0.102949;-0.002461;
0.004560;0.999992;0.995617;0.716671;-0.112086;-0.010946;
0.004580;0.999992;1.000498;0.718800;-0.121163;-0.019448;
0.004600;0.999992;1.005257;0.720705;-0.130177;-0.027967;
