time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_edPPu;GEN_generator_psi2q;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_sePu;GEN_generator_UPu;
1.113827;1.067387;1.003081;0.787388;0.280015;-0.385804;1.158134;-0.609810;0.008264;0.875664;
1.115670;1.069139;1.002968;0.787250;0.287517;-0.392749;1.156252;-0.598298;0.008934;0.878096;
1.117513;1.070825;1.002856;0.787117;0.294893;-0.399598;1.154232;-0.586945;0.009633;0.880484;
1.119357;1.072446;1.002743;0.786986;0.302144;-0.406349;1.152078;-0.575747;0.010361;0.882830;
1.121200;1.074002;1.002632;0.786859;0.309271;-0.413005;1.149795;-0.564702;0.011118;0.885135;
1.123043;1.075494;1.002520;0.786734;0.316276;-0.419565;1.147388;-0.553807;0.011902;0.887400;
1.124886;1.076922;1.002410;0.786612;0.323160;-0.426031;1.144861;-0.543060;0.012713;0.889627;
1.126729;1.078285;1.002300;0.786493;0.329925;-0.432403;1.142219;-0.532457;0.013549;0.891815;
1.128573;1.079585;1.002190;0.786376;0.336570;-0.438681;1.139464;-0.521997;0.014411;0.893966;
1.130416;1.080822;1.002082;0.786262;0.343099;-0.444867;1.136601;-0.511676;0.015296;0.896081;
1.132259;1.081997;1.001973;0.786149;0.349511;-0.450961;1.133633;-0.501494;0.016204;0.898161;
1.134102;1.083108;1.001866;0.786039;0.355808;-0.456964;1.130564;-0.491448;0.017134;0.900206;
1.135945;1.084158;1.001759;0.785930;0.361992;-0.462876;1.127397;-0.481535;0.018084;0.902218;
1.137789;1.085146;1.001653;0.785824;0.368063;-0.468698;1.124134;-0.471754;0.019053;0.904197;
1.139632;1.086073;1.001548;0.785719;0.374023;-0.474432;1.120779;-0.462103;0.020041;0.906144;
1.141475;1.086940;1.001444;0.785615;0.379873;-0.480076;1.117335;-0.452580;0.021045;0.908059;
1.143318;1.087746;1.001340;0.785514;0.385613;-0.485633;1.113803;-0.443185;0.022065;0.909943;
1.145161;1.088492;1.001237;0.785413;0.391246;-0.491103;1.110188;-0.433914;0.023100;0.911797;
1.147005;1.089179;1.001135;0.785314;0.396773;-0.496487;1.106490;-0.424767;0.024147;0.913621;
1.148848;1.089807;1.001034;0.785217;0.402194;-0.501785;1.102712;-0.415742;0.025207;0.915417;
1.150691;1.090377;1.000934;0.785120;0.407511;-0.506998;1.098857;-0.406839;0.026277;0.917183;
1.152534;1.090889;1.000835;0.785025;0.412725;-0.512127;1.094926;-0.398054;0.027357;0.918922;
1.154377;1.091344;1.000736;0.784931;0.417838;-0.517172;1.090922;-0.389389;0.028445;0.920633;
1.156221;1.091743;1.000639;0.784838;0.422849;-0.522135;1.086847;-0.380840;0.029540;0.922317;
1.158064;1.092084;1.000542;0.784746;0.427761;-0.527015;1.082702;-0.372408;0.030641;0.923974;
1.159907;1.092371;1.000446;0.784655;0.432575;-0.531814;1.078489;-0.364091;0.031747;0.925605;
1.161750;1.092602;1.000352;0.784565;0.437291;-0.536532;1.074211;-0.355888;0.032856;0.927210;
1.163593;1.092779;1.000258;0.784476;0.441911;-0.541170;1.069868;-0.347798;0.033968;0.928790;
1.165437;1.092902;1.000165;0.784388;0.446436;-0.545729;1.065463;-0.339820;0.035081;0.930345;
1.167280;1.092971;1.000074;0.784300;0.450867;-0.550210;1.060996;-0.331953;0.036194;0.931875;
1.169123;1.092988;0.999983;0.784214;0.455205;-0.554612;1.056470;-0.324197;0.037307;0.933381;
1.170966;1.092952;0.999894;0.784128;0.459452;-0.558938;1.051887;-0.316550;0.038418;0.934863;
1.172809;1.092865;0.999805;0.784043;0.463608;-0.563187;1.047247;-0.309012;0.039526;0.936322;
1.174653;1.092728;0.999718;0.783959;0.467675;-0.567360;1.042552;-0.301582;0.040630;0.937757;
1.176496;1.092539;0.999632;0.783876;0.471653;-0.571458;1.037804;-0.294260;0.041730;0.939169;
1.178339;1.092302;0.999546;0.783794;0.475544;-0.575481;1.033004;-0.287043;0.042824;0.940559;
1.180182;1.092015;0.999462;0.783712;0.479348;-0.579431;1.028153;-0.279933;0.043912;0.941926;
1.182025;1.091679;0.999379;0.783631;0.483067;-0.583308;1.023253;-0.272928;0.044992;0.943271;
1.183869;1.091296;0.999297;0.783551;0.486703;-0.587113;1.018305;-0.266027;0.046064;0.944595;
1.185712;1.090866;0.999217;0.783471;0.490255;-0.590846;1.013311;-0.259229;0.047128;0.945896;
1.187555;1.090390;0.999137;0.783393;0.493725;-0.594508;1.008272;-0.252535;0.048182;0.947177;
1.189398;1.089868;0.999059;0.783315;0.497114;-0.598100;1.003189;-0.245943;0.049226;0.948436;
1.191241;1.089301;0.998982;0.783237;0.500423;-0.601622;0.998063;-0.239453;0.050259;0.949675;
1.193085;1.088689;0.998906;0.783161;0.503653;-0.605075;0.992897;-0.233064;0.051280;0.950893;
1.196771;1.087337;0.998757;0.783010;0.509882;-0.611779;0.982449;-0.220584;0.053286;0.953269;
1.200089;1.085975;0.998628;0.782878;0.515228;-0.617583;0.972918;-0.209693;0.055046;0.955339;
1.203407;1.084480;0.998502;0.782748;0.520334;-0.623175;0.963275;-0.199120;0.056760;0.957346;
1.206724;1.082857;0.998381;0.782620;0.525206;-0.628559;0.953528;-0.188861;0.058427;0.959291;
1.210042;1.081110;0.998264;0.782495;0.529849;-0.633737;0.943684;-0.178913;0.060042;0.961175;
1.213360;1.079242;0.998150;0.782374;0.534269;-0.638715;0.933751;-0.169274;0.061604;0.963000;
1.216678;1.077259;0.998041;0.782255;0.538471;-0.643495;0.923738;-0.159939;0.063112;0.964766;
1.219995;1.075164;0.997936;0.782139;0.542461;-0.648082;0.913651;-0.150905;0.064563;0.966474;
1.223313;1.072962;0.997836;0.782026;0.546244;-0.652478;0.903500;-0.142169;0.065958;0.968126;
1.226631;1.070657;0.997739;0.781916;0.549825;-0.656689;0.893293;-0.133726;0.067294;0.969722;
1.229949;1.068254;0.997647;0.781810;0.553209;-0.660718;0.883037;-0.125574;0.068571;0.971264;
1.233266;1.065757;0.997559;0.781707;0.556403;-0.664568;0.872742;-0.117708;0.069788;0.972752;
1.236584;1.063171;0.997475;0.781608;0.559410;-0.668243;0.862416;-0.110125;0.070946;0.974188;
1.239902;1.060499;0.997396;0.781512;0.562235;-0.671746;0.852068;-0.102820;0.072044;0.975572;
1.243220;1.057748;0.997321;0.781420;0.564885;-0.675082;0.841705;-0.095791;0.073081;0.976905;
1.246537;1.054920;0.997250;0.781332;0.567362;-0.678254;0.831338;-0.089032;0.074059;0.978188;
1.249855;1.052021;0.997184;0.781248;0.569673;-0.681265;0.820974;-0.082541;0.074977;0.979423;
1.253173;1.049055;0.997122;0.781168;0.571822;-0.684119;0.810622;-0.076312;0.075836;0.980609;
1.256491;1.046026;0.997064;0.781091;0.573814;-0.686819;0.800291;-0.070343;0.076637;0.981749;
1.259808;1.042939;0.997011;0.781019;0.575652;-0.689369;0.789990;-0.064627;0.077380;0.982842;
1.263126;1.039799;0.996961;0.780952;0.577342;-0.691772;0.779728;-0.059162;0.078066;0.983890;
1.266444;1.036610;0.996916;0.780888;0.578889;-0.694032;0.769512;-0.053942;0.078697;0.984893;
1.269762;1.033376;0.996876;0.780829;0.580295;-0.696152;0.759353;-0.048964;0.079272;0.985853;
1.273079;1.030102;0.996839;0.780775;0.581567;-0.698136;0.749259;-0.044223;0.079794;0.986770;
1.276397;1.026792;0.996807;0.780725;0.582707;-0.699986;0.739237;-0.039714;0.080263;0.987646;
