time;NL_G1_generator_omegaPu;NL_G1_generator_PGenPu;NL_G1_generator_QGenPu;NL_G1_generator_UPu;NL_G1_generator_efdPu;NL_G1_compensator_VcPu;NL_G1_pss_VPssPu;NL_G1_governor_PmPu;NL_G2_generator_omegaPu;NL_G2_generator_PGenPu;NL_G2_generator_QGenPu;NL_G2_generator_UPu;NL_G2_generator_efdPu;NL_G3_generator_omegaPu;NL_G3_generator_PGenPu;NL_G3_generator_QGenPu;NL_G3_generator_UPu;NL_G3_generator_efdPu;
1.004407;1.000000;5.987966;0.909243;1.016944;1.697397;1.016944;-0.009600;0.519789;0.999986;1.429631;0.776427;1.016944;1.847750;0.999986;1.530166;0.831033;1.016944;1.978964;
1.004411;1.000000;5.987956;0.909259;1.016944;1.697397;1.016944;-0.009607;0.519789;0.999986;1.429638;0.776421;1.016944;1.847723;0.999986;1.530173;0.831028;1.016944;1.978875;
1.004419;1.000000;5.987938;0.909292;1.016945;1.697397;1.016945;-0.009621;0.519789;0.999986;1.429653;0.776410;1.016945;1.847669;0.999986;1.530188;0.831017;1.016945;1.978696;
1.004435;1.000000;5.987900;0.909358;1.016948;1.697397;1.016948;-0.009649;0.519789;0.999986;1.429681;0.776389;1.016948;1.847561;0.999986;1.530217;0.830995;1.016948;1.978339;
1.004467;1.000000;5.987825;0.909489;1.016952;1.697397;1.016952;-0.009706;0.519789;0.999986;1.429738;0.776345;1.016952;1.847344;0.999986;1.530276;0.830952;1.016952;1.977621;
1.004531;1.000000;5.987677;0.909750;1.016961;1.697397;1.016961;-0.009818;0.519789;0.999985;1.429851;0.776259;1.016961;1.846906;0.999985;1.530392;0.830865;1.016961;1.976171;
1.004659;0.999999;5.987386;0.910266;1.016978;1.697396;1.016978;-0.010039;0.519789;0.999985;1.430074;0.776088;1.016978;1.846014;0.999985;1.530622;0.830694;1.016978;1.973221;
1.004915;0.999999;5.986825;0.911274;1.017013;1.697395;1.017013;-0.010473;0.519789;0.999984;1.430507;0.775756;1.017013;1.844163;0.999984;1.531068;0.830360;1.017013;1.967115;
1.005427;0.999999;5.985779;0.913199;1.017078;1.697391;1.017078;-0.011305;0.519789;0.999981;1.431322;0.775124;1.017078;1.840206;0.999981;1.531909;0.829724;1.017078;1.954117;
1.006451;0.999997;5.983973;0.916712;1.017200;1.697383;1.017200;-0.012835;0.519789;0.999976;1.432767;0.773981;1.017200;1.831344;0.999976;1.533402;0.828574;1.017200;1.925209;
1.006592;0.999997;5.983750;0.917166;1.017216;1.697381;1.017216;-0.013033;0.519789;0.999976;1.432949;0.773834;1.017216;1.830039;0.999976;1.533591;0.828426;1.017216;1.920972;
1.006593;0.999997;5.983748;0.917169;1.017216;1.697381;1.017216;-0.013035;0.519789;0.999976;1.432950;0.773833;1.017216;1.830029;0.999976;1.533592;0.828425;1.017216;1.920941;
1.006594;0.999997;5.983747;0.917173;1.017216;1.697381;1.017216;-0.013036;0.519789;0.999976;1.432951;0.773832;1.017216;1.830020;0.999976;1.533593;0.828424;1.017216;1.920911;
1.006596;0.999997;5.983744;0.917179;1.017217;1.697381;1.017217;-0.013039;0.519789;0.999976;1.432954;0.773830;1.017217;1.830001;0.999976;1.533596;0.828422;1.017217;1.920849;
1.006600;0.999997;5.983738;0.917191;1.017217;1.697381;1.017217;-0.013044;0.519789;0.999976;1.432959;0.773826;1.017217;1.829963;0.999976;1.533601;0.828418;1.017217;1.920727;
1.006608;0.999997;5.983726;0.917217;1.017218;1.697381;1.017218;-0.013055;0.519789;0.999976;1.432969;0.773818;1.017218;1.829888;0.999976;1.533612;0.828409;1.017218;1.920482;
1.006624;0.999997;5.983701;0.917267;1.017220;1.697381;1.017220;-0.013077;0.519789;0.999976;1.432989;0.773802;1.017220;1.829736;0.999975;1.533632;0.828393;1.017220;1.919991;
1.006656;0.999997;5.983653;0.917367;1.017223;1.697381;1.017223;-0.013121;0.519789;0.999975;1.433029;0.773769;1.017223;1.829432;0.999975;1.533674;0.828361;1.017223;1.919012;
1.006720;0.999997;5.983557;0.917566;1.017230;1.697380;1.017230;-0.013209;0.519789;0.999975;1.433108;0.773705;1.017230;1.828821;0.999975;1.533756;0.828296;1.017230;1.917053;
