time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;
1.920526;1.113446;1.003723;0.772394;0.850715;0.038983;0.997647;
1.925635;1.119321;1.003601;0.772160;0.860924;0.040375;0.997657;
1.930745;1.124995;1.003473;0.771913;0.870777;0.041640;0.997653;
1.935854;1.130459;1.003338;0.771653;0.880253;0.042781;0.997635;
1.940963;1.135703;1.003198;0.771381;0.889330;0.043802;0.997605;
1.946073;1.140717;1.003052;0.771097;0.897987;0.044705;0.997564;
1.951182;1.145493;1.002901;0.770801;0.906205;0.045494;0.997513;
1.956291;1.150022;1.002745;0.770495;0.913966;0.046174;0.997453;
1.961401;1.154297;1.002584;0.770179;0.921252;0.046748;0.997386;
1.966510;1.158309;1.002418;0.769854;0.928048;0.047220;0.997313;
1.971619;1.162053;1.002249;0.769519;0.934338;0.047596;0.997234;
1.976729;1.165522;1.002075;0.769177;0.940109;0.047879;0.997152;
1.981838;1.168709;1.001898;0.768828;0.945349;0.048073;0.997067;
1.986947;1.171610;1.001718;0.768473;0.950047;0.048183;0.996981;
1.992057;1.174219;1.001535;0.768111;0.954194;0.048213;0.996894;
1.997166;1.176533;1.001349;0.767745;0.957780;0.048165;0.996807;
2.002275;1.178548;1.001162;0.767374;0.960799;0.048045;0.996722;
2.007385;1.180260;1.000973;0.767000;0.963245;0.047855;0.996638;
2.012494;1.181668;1.000782;0.766623;0.965115;0.047598;0.996557;
2.017603;1.182769;1.000590;0.766245;0.966405;0.047277;0.996479;
2.027822;1.184046;1.000206;0.765486;0.967244;0.046454;0.996334;
2.038041;1.184090;0.999822;0.764729;0.965770;0.045396;0.996206;
2.048259;1.182911;0.999442;0.763981;0.962013;0.044115;0.996094;
2.058478;1.180522;0.999068;0.763247;0.956020;0.042612;0.995998;
2.068697;1.176949;0.998703;0.762533;0.947860;0.040884;0.995915;
2.077831;1.172778;0.998386;0.761917;0.938798;0.039144;0.995848;
2.086052;1.168259;0.998111;0.761383;0.929277;0.037411;0.995790;
2.093451;1.163594;0.997872;0.760921;0.919655;0.035711;0.995737;
2.100850;1.158384;0.997642;0.760480;0.909093;0.033872;0.995680;
2.107509;1.153249;0.997444;0.760102;0.898825;0.032094;0.995624;
2.114168;1.147708;0.997255;0.759743;0.887881;0.030196;0.995561;
2.120161;1.142390;0.997092;0.759437;0.877489;0.028381;0.995497;
2.126154;1.136773;0.996938;0.759149;0.866620;0.026462;0.995424;
2.132148;1.130874;0.996792;0.758878;0.855311;0.024438;0.995341;
2.138141;1.124709;0.996655;0.758626;0.843599;0.022308;0.995246;
2.144134;1.118293;0.996526;0.758394;0.831522;0.020069;0.995139;
2.150127;1.111645;0.996407;0.758181;0.819119;0.017723;0.995018;
2.156120;1.104781;0.996297;0.757989;0.806429;0.015268;0.994883;
2.162113;1.097720;0.996197;0.757818;0.793491;0.012707;0.994732;
2.167507;1.091211;0.996116;0.757681;0.781667;0.010315;0.994582;
2.172901;1.084569;0.996042;0.757563;0.769705;0.007837;0.994419;
2.178295;1.077810;0.995976;0.757461;0.757632;0.005279;0.994242;
2.183689;1.070947;0.995919;0.757378;0.745479;0.002644;0.994052;
2.189083;1.063994;0.995870;0.757313;0.733274;-0.000065;0.993847;
2.194476;1.056964;0.995829;0.757265;0.721045;-0.002844;0.993629;
