time;NETWORK_LINE_i_a;NETWORK_LINE_i_b;NETWORK_LINE_i_c;NETWORK_B1_v_a;
0.003820;0.219681;0.464167;-0.683849;0.609533;
0.003830;0.217558;0.465824;-0.683382;0.605279;
0.003840;0.215438;0.467473;-0.682911;0.601025;
0.003850;0.213323;0.469114;-0.682437;0.596771;
0.003860;0.211212;0.470747;-0.681959;0.592519;
0.003870;0.209106;0.472372;-0.681478;0.588267;
0.003880;0.207003;0.473990;-0.680992;0.584016;
0.003890;0.204903;0.475599;-0.680503;0.579766;
0.003900;0.202808;0.477202;-0.680010;0.575518;
0.003910;0.200716;0.478797;-0.679513;0.571271;
0.003920;0.198627;0.480384;-0.679012;0.567026;
0.003930;0.196542;0.481965;-0.678506;0.562783;
0.003940;0.194460;0.483538;-0.677997;0.558541;
0.003950;0.192380;0.485103;-0.677484;0.554302;
0.003960;0.190304;0.486662;-0.676966;0.550064;
0.003970;0.188231;0.488214;-0.676444;0.545829;
0.003980;0.186160;0.489758;-0.675918;0.541596;
0.003990;0.184091;0.491296;-0.675387;0.537365;
0.004000;0.182025;0.492827;-0.674852;0.533137;
0.004010;0.179961;0.494352;-0.674313;0.528911;
0.004020;0.177899;0.495869;-0.673768;0.524687;
0.004030;0.175839;0.497381;-0.673219;0.520466;
0.004040;0.173781;0.498885;-0.672666;0.516248;
0.004050;0.171724;0.500384;-0.672107;0.512032;
0.004060;0.169669;0.501875;-0.671544;0.507819;
0.004070;0.167615;0.503361;-0.670976;0.503608;
0.004080;0.165562;0.504840;-0.670403;0.499400;
0.004090;0.163511;0.506314;-0.669825;0.495194;
0.004100;0.161460;0.507781;-0.669241;0.490991;
0.004110;0.159411;0.509242;-0.668653;0.486791;
0.004120;0.157362;0.510697;-0.668059;0.482593;
0.004130;0.155314;0.512147;-0.667460;0.478397;
0.004140;0.153266;0.513590;-0.666856;0.474204;
0.004150;0.151218;0.515028;-0.666246;0.470014;
0.004160;0.149171;0.516460;-0.665631;0.465825;
0.004170;0.147123;0.517887;-0.665010;0.461639;
0.004180;0.145076;0.519308;-0.664384;0.457456;
0.004190;0.143029;0.520723;-0.663752;0.453274;
0.004200;0.140981;0.522134;-0.663115;0.449095;
0.004210;0.138933;0.523538;-0.662471;0.444917;
0.004220;0.136884;0.524938;-0.661822;0.440742;
0.004230;0.134835;0.526332;-0.661167;0.436569;
0.004240;0.132785;0.527720;-0.660506;0.432397;
0.004250;0.130735;0.529104;-0.659839;0.428227;
0.004260;0.128683;0.530483;-0.659166;0.424059;
0.004270;0.126631;0.531856;-0.658487;0.419893;
0.004280;0.124577;0.533225;-0.657802;0.415728;
0.004290;0.122522;0.534588;-0.657110;0.411564;
0.004300;0.120466;0.535946;-0.656412;0.407402;
0.004310;0.118409;0.537300;-0.655709;0.403240;
0.004320;0.116350;0.538649;-0.654998;0.399080;
0.004330;0.114289;0.539992;-0.654282;0.394921;
0.004340;0.112227;0.541331;-0.653559;0.390763;
0.004350;0.110164;0.542665;-0.652829;0.386606;
0.004360;0.108098;0.543995;-0.652093;0.382449;
0.004370;0.106031;0.545320;-0.651351;0.378293;
0.004380;0.103962;0.546640;-0.650602;0.374138;
0.004390;0.101891;0.547955;-0.649846;0.369983;
0.004400;0.099818;0.549266;-0.649084;0.365828;
0.004410;0.097743;0.550572;-0.648315;0.361673;
0.004420;0.095666;0.551873;-0.647540;0.357518;
0.004430;0.093587;0.553170;-0.646757;0.353364;
0.004440;0.091506;0.554463;-0.645968;0.349209;
0.004450;0.089422;0.555751;-0.645172;0.345054;
0.004460;0.087336;0.557034;-0.644370;0.340898;
0.004470;0.085248;0.558313;-0.643560;0.336742;
0.004480;0.083157;0.559587;-0.642744;0.332586;
0.004490;0.081064;0.560857;-0.641921;0.328429;
0.004500;0.078969;0.562122;-0.641091;0.324271;
0.004510;0.076871;0.563383;-0.640254;0.320112;
0.004520;0.074770;0.564639;-0.639410;0.315952;
0.004530;0.072668;0.565891;-0.638559;0.311791;
0.004540;0.070562;0.567138;-0.637701;0.307629;
0.004550;0.068455;0.568381;-0.636836;0.303466;
0.004560;0.066344;0.569620;-0.635964;0.299301;
0.004570;0.064232;0.570854;-0.635085;0.295135;
0.004580;0.062116;0.572083;-0.634199;0.290968;
0.004590;0.059998;0.573308;-0.633306;0.286799;
0.004600;0.057878;0.574529;-0.632406;0.282628;
0.004610;0.055755;0.575744;-0.631499;0.278455;
0.004620;0.053629;0.576956;-0.630585;0.274280;
0.004630;0.051501;0.578163;-0.629664;0.270104;
0.004640;0.049371;0.579365;-0.628736;0.265925;
0.004650;0.047238;0.580563;-0.627801;0.261745;
0.004660;0.045102;0.581756;-0.626859;0.257562;
0.004670;0.042964;0.582945;-0.625909;0.253377;
0.004680;0.040824;0.584129;-0.624953;0.249189;
0.004690;0.038681;0.585309;-0.623990;0.245000;
0.004700;0.036535;0.586484;-0.623019;0.240807;
0.004710;0.034388;0.587654;-0.622042;0.236613;
0.004720;0.032238;0.588820;-0.621057;0.232415;
0.004730;0.030085;0.589981;-0.620066;0.228216;
0.004740;0.027930;0.591137;-0.619067;0.224013;
0.004750;0.025773;0.592288;-0.618062;0.219808;
0.004760;0.023614;0.593435;-0.617049;0.215600;
0.004770;0.021453;0.594577;-0.616030;0.211389;
0.004780;0.019289;0.595714;-0.615003;0.207176;
0.004790;0.017123;0.596847;-0.613970;0.202959;
0.004800;0.014955;0.597974;-0.612930;0.198740;
0.004810;0.012786;0.599097;-0.611882;0.194518;
0.004820;0.010614;0.600215;-0.610828;0.190293;
0.004830;0.008440;0.601327;-0.609767;0.186065;
0.004840;0.006264;0.602435;-0.608699;0.181834;
0.004850;0.004086;0.603538;-0.607625;0.177599;
0.004860;0.001907;0.604636;-0.606543;0.173362;
0.004870;-0.000274;0.605729;-0.605455;0.169122;
0.004880;-0.002457;0.606816;-0.604359;0.164879;
0.004890;-0.004642;0.607899;-0.603257;0.160632;
0.004900;-0.006828;0.608977;-0.602149;0.156383;
0.004910;-0.009016;0.610049;-0.601033;0.152130;
0.004920;-0.011205;0.611116;-0.599911;0.147875;
