time;CAPBUS_cap_p_v_0_;CAPBUS_cap_p_v_1_;CAPBUS_cap_p_v_2_;MACHINE_machine_terminal_i_0_;MACHINE_machine_terminal_i_1_;MACHINE_machine_terminal_i_2_;MACHINE_machine_Wr;MACHINE_machine_dtheta;MACHINE_machine_Te;
0.003460;0.707563;0.577802;-1.285365;-0.175179;-0.135306;0.310485;1.000000;1.919776;0.604221;
0.003480;0.700823;0.585192;-1.286015;-0.173566;-0.137056;0.310622;1.000000;1.919776;0.604216;
0.003500;0.694057;0.592571;-1.286627;-0.171946;-0.138799;0.310745;1.000000;1.919776;0.604207;
0.003520;0.687264;0.599935;-1.287199;-0.170319;-0.140536;0.310855;1.000000;1.919776;0.604195;
0.003540;0.680445;0.607284;-1.287729;-0.168685;-0.142266;0.310951;1.000000;1.919776;0.604180;
0.003560;0.673599;0.614614;-1.288213;-0.167043;-0.143990;0.311033;1.000000;1.919776;0.604163;
0.003580;0.666727;0.621924;-1.288651;-0.165395;-0.145707;0.311102;1.000000;1.919776;0.604143;
0.003600;0.659828;0.629209;-1.289038;-0.163740;-0.147418;0.311158;1.000000;1.919776;0.604120;
0.003620;0.652903;0.636468;-1.289371;-0.162079;-0.149122;0.311201;1.000000;1.919776;0.604096;
0.003640;0.645950;0.643697;-1.289648;-0.160410;-0.150820;0.311230;1.000000;1.919776;0.604069;
0.003660;0.638971;0.650894;-1.289865;-0.158735;-0.152511;0.311247;1.000000;1.919776;0.604040;
0.003680;0.631965;0.658054;-1.290019;-0.157054;-0.154196;0.311250;1.000000;1.919776;0.604010;
0.003700;0.624932;0.665177;-1.290109;-0.155365;-0.155874;0.311240;1.000000;1.919776;0.603977;
0.003720;0.617872;0.672258;-1.290130;-0.153671;-0.157546;0.311217;1.000000;1.919776;0.603943;
0.003740;0.610786;0.679297;-1.290082;-0.151969;-0.159211;0.311180;1.000000;1.919776;0.603906;
0.003760;0.603672;0.686290;-1.289962;-0.150262;-0.160869;0.311131;1.000000;1.919776;0.603868;
0.003780;0.596533;0.693236;-1.289769;-0.148548;-0.162520;0.311068;1.000000;1.919776;0.603828;
0.003800;0.589367;0.700135;-1.289502;-0.146828;-0.164165;0.310993;1.000000;1.919776;0.603786;
0.003820;0.582175;0.706984;-1.289160;-0.145101;-0.165803;0.310904;1.000000;1.919776;0.603742;
0.003840;0.574958;0.713785;-1.288743;-0.143369;-0.167433;0.310802;1.000000;1.919776;0.603696;
0.003860;0.567716;0.720536;-1.288252;-0.141630;-0.169056;0.310687;1.000000;1.919776;0.603648;
0.003880;0.560449;0.727238;-1.287688;-0.139886;-0.170673;0.310559;1.000000;1.919776;0.603598;
0.003900;0.553158;0.733893;-1.287051;-0.138136;-0.172282;0.310417;1.000000;1.919776;0.603547;
0.003920;0.545843;0.740501;-1.286343;-0.136379;-0.173883;0.310263;1.000000;1.919776;0.603493;
0.003940;0.538504;0.747063;-1.285567;-0.134618;-0.175478;0.310095;1.000000;1.919776;0.603438;
0.003960;0.531143;0.753582;-1.284724;-0.132850;-0.177065;0.309915;1.000000;1.919776;0.603381;
0.003980;0.523759;0.760058;-1.283817;-0.131077;-0.178645;0.309721;1.000000;1.919776;0.603323;
0.004000;0.516353;0.766495;-1.282849;-0.129298;-0.180217;0.309515;1.000000;1.919776;0.603264;
0.004020;0.508926;0.772894;-1.281821;-0.127515;-0.181782;0.309296;1.000000;1.919776;0.603204;
0.004040;0.501478;0.779258;-1.280736;-0.125725;-0.183339;0.309065;1.000000;1.919776;0.603143;
0.004060;0.494009;0.785587;-1.279597;-0.123931;-0.184890;0.308821;1.000000;1.919776;0.603081;
0.004080;0.486521;0.791885;-1.278405;-0.122132;-0.186433;0.308565;1.000000;1.919776;0.603020;
0.004100;0.479012;0.798152;-1.277164;-0.120328;-0.187969;0.308297;1.000000;1.919776;0.602958;
0.004120;0.471484;0.804391;-1.275875;-0.118519;-0.189498;0.308016;1.000000;1.919776;0.602898;
0.004140;0.463937;0.810602;-1.274539;-0.116705;-0.191020;0.307724;1.000000;1.919776;0.602838;
0.004160;0.456370;0.816787;-1.273157;-0.114887;-0.192534;0.307421;1.000000;1.919776;0.602780;
0.004180;0.448786;0.822945;-1.271730;-0.113064;-0.194042;0.307106;1.000000;1.919776;0.602723;
0.004200;0.441182;0.829077;-1.270259;-0.111237;-0.195544;0.306780;1.000000;1.919776;0.602669;
0.004220;0.433561;0.835183;-1.268744;-0.109406;-0.197038;0.306444;1.000000;1.919776;0.602618;
0.004240;0.425921;0.841263;-1.267184;-0.107570;-0.198526;0.306096;1.000000;1.919776;0.602569;
0.004260;0.418264;0.847315;-1.265578;-0.105731;-0.200007;0.305738;1.000000;1.919776;0.602524;
0.004280;0.410588;0.853338;-1.263926;-0.103888;-0.201482;0.305369;1.000000;1.919776;0.602482;
0.004300;0.402895;0.859331;-1.262226;-0.102041;-0.202950;0.304990;1.000000;1.919776;0.602444;
0.004320;0.395184;0.865292;-1.260477;-0.100190;-0.204411;0.304601;1.000000;1.919776;0.602410;
0.004340;0.387456;0.871220;-1.258677;-0.098336;-0.205866;0.304202;1.000000;1.919776;0.602381;
0.004360;0.379711;0.877113;-1.256824;-0.096478;-0.207315;0.303793;1.000000;1.919776;0.602356;
0.004380;0.371949;0.882968;-1.254917;-0.094617;-0.208757;0.303375;1.000000;1.919776;0.602336;
0.004400;0.364170;0.888785;-1.252954;-0.092753;-0.210193;0.302946;1.000000;1.919776;0.602320;
0.004420;0.356374;0.894560;-1.250934;-0.090886;-0.211622;0.302507;1.000000;1.919776;0.602309;
0.004440;0.348563;0.900292;-1.248855;-0.089015;-0.213044;0.302059;1.000000;1.919776;0.602303;
0.004460;0.340735;0.905980;-1.246715;-0.087142;-0.214459;0.301601;1.000000;1.919776;0.602301;
0.004480;0.332892;0.911623;-1.244515;-0.085265;-0.215868;0.301133;1.000000;1.919776;0.602303;
0.004500;0.325034;0.917219;-1.242252;-0.083386;-0.217269;0.300655;1.000000;1.919776;0.602310;
0.004520;0.317161;0.922768;-1.239929;-0.081504;-0.218664;0.300168;1.000000;1.919776;0.602320;
0.004540;0.309274;0.928269;-1.237543;-0.079619;-0.220051;0.299670;1.000000;1.919776;0.602335;
0.004560;0.301374;0.933723;-1.235097;-0.077732;-0.221430;0.299162;1.000000;1.919776;0.602352;
0.004580;0.293461;0.939130;-1.232591;-0.075842;-0.222802;0.298644;1.000000;1.919776;0.602373;
0.004600;0.285536;0.944490;-1.230026;-0.073949;-0.224166;0.298115;1.000000;1.919776;0.602398;
0.004620;0.277600;0.949805;-1.227405;-0.072054;-0.225523;0.297577;1.000000;1.919776;0.602424;
0.004640;0.269653;0.955077;-1.224729;-0.070157;-0.226871;0.297027;1.000000;1.919776;0.602454;
0.004660;0.261695;0.960306;-1.222001;-0.068257;-0.228211;0.296468;1.000000;1.919776;0.602485;
0.004680;0.253728;0.965495;-1.219223;-0.066355;-0.229542;0.295897;1.000000;1.919776;0.602519;
0.004700;0.245753;0.970646;-1.216398;-0.064450;-0.230866;0.295316;1.000000;1.919776;0.602554;
0.004720;0.237769;0.975761;-1.213529;-0.062544;-0.232180;0.294724;1.000000;1.919776;0.602591;
0.004740;0.229778;0.980842;-1.210620;-0.060635;-0.233486;0.294121;1.000000;1.919776;0.602629;
0.004760;0.221780;0.985892;-1.207672;-0.058724;-0.234783;0.293507;1.000000;1.919776;0.602668;
0.004780;0.213776;0.990913;-1.204689;-0.056812;-0.236071;0.292883;1.000000;1.919776;0.602709;
0.004800;0.205767;0.995906;-1.201673;-0.054897;-0.237350;0.292247;1.000000;1.919776;0.602750;
0.004820;0.197752;1.000875;-1.198627;-0.052981;-0.238620;0.291601;1.000000;1.919776;0.602793;
0.004840;0.189733;1.005820;-1.195553;-0.051063;-0.239881;0.290944;1.000000;1.919776;0.602836;
0.004860;0.181710;1.010743;-1.192453;-0.049143;-0.241133;0.290275;1.000000;1.919776;0.602880;
0.004880;0.173682;1.015645;-1.189327;-0.047221;-0.242375;0.289596;1.000000;1.919776;0.602925;
0.004900;0.165651;1.020527;-1.186178;-0.045298;-0.243608;0.288906;1.000000;1.919776;0.602971;
0.004920;0.157617;1.025389;-1.183006;-0.043373;-0.244832;0.288206;1.000000;1.919776;0.603017;
0.004940;0.149580;1.030230;-1.179810;-0.041447;-0.246047;0.287494;1.000000;1.919776;0.603065;
