time;L_circuit_vBusA;L_circuit_vBusB;L_circuit_vBusC;L_circuit_iGenA;L_circuit_iGenB;L_circuit_iGenC;L_circuit_Wr;L_circuit_dtheta;L_circuit_Te;
0.003160;0.805453;0.465672;-1.271124;-0.198334;-0.108422;0.306755;1.000000;1.919862;0.603800;
0.003180;0.799125;0.473252;-1.272376;-0.196832;-0.110269;0.307101;1.000000;1.919862;0.603851;
0.003200;0.792766;0.480811;-1.273578;-0.195323;-0.112110;0.307432;1.000000;1.919862;0.603899;
0.003220;0.786379;0.488351;-1.274730;-0.193806;-0.113945;0.307750;1.000000;1.919862;0.603944;
0.003240;0.779963;0.495874;-1.275836;-0.192281;-0.115774;0.308054;1.000000;1.919862;0.603985;
0.003260;0.773518;0.503379;-1.276897;-0.190748;-0.117596;0.308345;1.000000;1.919862;0.604022;
0.003280;0.767045;0.510870;-1.277915;-0.189208;-0.119412;0.308620;1.000000;1.919862;0.604056;
0.003300;0.760544;0.518348;-1.278892;-0.187661;-0.121222;0.308882;1.000000;1.919862;0.604085;
0.003320;0.754016;0.525813;-1.279829;-0.186106;-0.123025;0.309130;1.000000;1.919862;0.604111;
0.003340;0.747461;0.533268;-1.280729;-0.184543;-0.124821;0.309364;1.000000;1.919862;0.604132;
0.003360;0.740879;0.540713;-1.281592;-0.182973;-0.126610;0.309583;1.000000;1.919862;0.604149;
0.003380;0.734270;0.548149;-1.282419;-0.181396;-0.128393;0.309788;1.000000;1.919862;0.604162;
0.003400;0.727635;0.555577;-1.283211;-0.179811;-0.130169;0.309980;1.000000;1.919862;0.604171;
0.003420;0.720973;0.562996;-1.283969;-0.178219;-0.131938;0.310157;1.000000;1.919862;0.604176;
0.003440;0.714286;0.570406;-1.284692;-0.176620;-0.133700;0.310320;1.000000;1.919862;0.604177;
0.003460;0.707571;0.577807;-1.285378;-0.175013;-0.135456;0.310470;1.000000;1.919862;0.604175;
0.003480;0.700831;0.585197;-1.286029;-0.173400;-0.137206;0.310605;1.000000;1.919862;0.604169;
0.003500;0.694064;0.592576;-1.286640;-0.171779;-0.138948;0.310727;1.000000;1.919862;0.604160;
0.003520;0.687271;0.599941;-1.287212;-0.170152;-0.140684;0.310836;1.000000;1.919862;0.604149;
0.003540;0.680452;0.607290;-1.287742;-0.168517;-0.142414;0.310931;1.000000;1.919862;0.604134;
0.003560;0.673606;0.614621;-1.288226;-0.166875;-0.144137;0.311012;1.000000;1.919862;0.604116;
0.003580;0.666733;0.621931;-1.288664;-0.165227;-0.145853;0.311080;1.000000;1.919862;0.604096;
