time;MACHINE_machine_omegaPu;MACHINE_machine_UStatorPu;MACHINE_machine_ifPu;MACHINE_machine_MdSatPPu;MACHINE_machine_MqSatPPu;MACHINE_machine_lambdaAirGapPu;
0.002860;1.000114;0.838813;0.713289;1.461496;1.411496;0.988127;
0.002880;1.000115;0.840294;0.722273;1.466288;1.416288;0.984229;
0.002900;1.000116;0.841183;0.731215;1.470995;1.420995;0.980333;
0.002920;1.000117;0.841867;0.740090;1.475607;1.425607;0.976449;
0.002940;1.000118;0.842701;0.748889;1.480119;1.430119;0.972581;
0.002960;1.000119;0.843977;0.757616;1.484537;1.434537;0.968725;
0.002980;1.000120;0.845928;0.766289;1.488871;1.438871;0.964873;
0.003000;1.000121;0.848727;0.774933;1.493137;1.443137;0.961012;
0.003020;1.000122;0.852503;0.783584;1.497352;1.447352;0.957126;
0.003040;1.000122;0.857346;0.792282;1.501535;1.451535;0.953196;
0.003060;1.000123;0.863301;0.801066;1.505702;1.455702;0.949203;
0.003080;1.000124;0.870360;0.809977;1.509870;1.459870;0.945129;
0.003100;1.000125;0.878428;0.819050;1.514049;1.464049;0.940958;
0.003120;1.000125;0.887303;0.828310;1.518246;1.468246;0.936680;
0.003140;1.000126;0.896647;0.837775;1.522461;1.472461;0.932285;
0.003160;1.000127;0.905972;0.847449;1.526689;1.476689;0.927774;
0.003180;1.000127;0.914643;0.857324;1.530918;1.480918;0.923152;
0.003200;1.000128;0.921902;0.867372;1.535130;1.485130;0.918432;
0.003220;1.000129;0.926914;0.877551;1.539301;1.489301;0.913636;
0.003240;1.000129;0.928827;0.887805;1.543404;1.493404;0.908794;
0.003260;1.000130;0.926856;0.898056;1.547406;1.497406;0.903942;
0.003280;1.000130;0.920368;0.908216;1.551274;1.501274;0.899125;
0.003300;1.000131;0.908989;0.918181;1.554970;1.504970;0.894394;
0.003320;1.000131;0.892710;0.927834;1.558460;1.508460;0.889807;
0.003340;1.000132;0.872008;0.937054;1.561709;1.511709;0.885425;
0.003360;1.000132;0.847972;0.945708;1.564683;1.514683;0.881313;
0.003380;1.000133;0.822527;0.953666;1.567352;1.517352;0.877537;
0.003400;1.000133;0.798135;0.960796;1.569686;1.519686;0.874164;
0.003420;1.000134;0.778323;0.966971;1.571659;1.521659;0.871258;
0.003440;1.000134;0.767103;0.972073;1.573248;1.523248;0.868880;
0.003460;1.000135;0.768498;0.975995;1.574431;1.524431;0.867086;
0.003480;1.000135;0.785703;0.978645;1.575189;1.525189;0.865927;
0.003500;1.000135;0.820272;0.979951;1.575504;1.525504;0.865444;
0.003520;1.000136;0.871739;0.979858;1.575359;1.525359;0.865668;
0.003540;1.000136;0.937884;0.978335;1.574738;1.524738;0.866622;
0.003560;1.000137;1.015377;0.975376;1.573625;1.523625;0.868316;
0.003580;1.000137;1.100449;0.970997;1.572006;1.522006;0.870749;
0.003600;1.000137;1.189350;0.965239;1.569869;1.519869;0.873908;
0.003620;1.000138;1.278601;0.958169;1.567203;1.517203;0.877765;
0.003640;1.000138;1.365103;0.949872;1.564001;1.514001;0.882286;
0.003660;1.000139;1.446170;0.940459;1.560259;1.510259;0.887420;
0.003680;1.000139;1.519537;0.930055;1.555980;1.505980;0.893108;
0.003700;1.000139;1.583356;0.918803;1.551175;1.501175;0.899283;
0.003720;1.000140;1.636195;0.906856;1.545863;1.495863;0.905869;
0.003740;1.000140;1.677032;0.894377;1.540072;1.490072;0.912784;
0.003760;1.000141;1.705295;0.881533;1.533843;1.483843;0.919942;
0.003780;1.000141;1.720623;0.868491;1.527230;1.477230;0.927253;
0.003800;1.000142;1.723335;0.855416;1.520295;1.470295;0.934630;
0.003820;1.000142;1.713952;0.842465;1.513112;1.463112;0.941985;
0.003840;1.000143;1.693224;0.829786;1.505769;1.455769;0.949233;
0.003860;1.000143;1.662382;0.817515;1.498357;1.448357;0.956296;
0.003880;1.000144;1.622853;0.805770;1.490971;1.440971;0.963102;
0.003900;1.000144;1.576212;0.794654;1.483710;1.433710;0.969588;
0.003920;1.000145;1.524389;0.784251;1.476665;1.426665;0.975698;
0.003940;1.000146;1.469192;0.774623;1.469923;1.419923;0.981390;
0.003960;1.000146;1.412513;0.765816;1.463565;1.413565;0.986630;
0.003980;1.000147;1.356181;0.757855;1.457655;1.407655;0.991394;
0.004000;1.000147;1.301875;0.750748;1.452246;1.402246;0.995670;
0.004020;1.000148;1.251040;0.744486;1.447372;1.397372;0.999459;
0.004040;1.000148;1.204812;0.739044;1.443053;1.393053;1.002765;
0.004060;1.000149;1.163971;0.734386;1.439294;1.389294;1.005607;
0.004080;1.000150;1.128910;0.730463;1.436085;1.386085;1.008008;
0.004100;1.000150;1.099655;0.727220;1.433403;1.383403;1.009997;
0.004120;1.000151;1.075910;0.724597;1.431215;1.381215;1.011607;
0.004140;1.000151;1.057146;0.722528;1.429483;1.379483;1.012875;
0.004160;1.000152;1.042686;0.720949;1.428162;1.378162;1.013837;
0.004180;1.000153;1.031804;0.719798;1.427207;1.377207;1.014531;
0.004200;1.000153;1.023798;0.719016;1.426574;1.376574;1.014990;
0.004220;1.000154;1.018115;0.718553;1.426220;1.376221;1.015245;
0.004240;1.000154;1.014078;0.718362;1.426115;1.376115;1.015321;
0.004260;1.000155;1.011368;0.718411;1.426229;1.376229;1.015239;
0.004280;1.000155;1.009698;0.718675;1.426543;1.376543;1.015011;
0.004300;1.000156;1.008898;0.719140;1.427049;1.377049;1.014645;
0.004320;1.000157;1.008906;0.719804;1.427746;1.377746;1.014139;
0.004340;1.000157;1.009773;0.720674;1.428646;1.378647;1.013484;
0.004360;1.000158;1.011584;0.721768;1.429767;1.379767;1.012666;
0.004380;1.000158;1.014792;0.723115;1.431134;1.381134;1.011664;
0.004400;1.000159;1.019732;0.724746;1.432781;1.382781;1.010453;
0.004420;1.000160;1.026924;0.726702;1.434743;1.384743;1.009002;
0.004440;1.000160;1.036962;0.729026;1.437057;1.387057;1.007279;
