time;NETWORK_B1_Urms;NETWORK_DL1_fict_Urms;NETWORK_DL1_Irms;
0.003590;0.964714;0.799077;0.159815;
0.003600;0.964593;0.799422;0.159884;
0.003610;0.964475;0.799763;0.159953;
0.003620;0.964359;0.800098;0.160020;
0.003630;0.964246;0.800428;0.160086;
0.003640;0.964135;0.800754;0.160151;
0.003650;0.964027;0.801074;0.160215;
0.003660;0.963922;0.801390;0.160278;
0.003670;0.963819;0.801701;0.160340;
0.003680;0.963720;0.802007;0.160401;
0.003690;0.963623;0.802309;0.160462;
0.003700;0.963529;0.802606;0.160521;
0.003710;0.963438;0.802899;0.160580;
0.003720;0.963350;0.803188;0.160638;
0.003730;0.963265;0.803472;0.160694;
0.003740;0.963183;0.803752;0.160750;
0.003750;0.963105;0.804028;0.160806;
0.003760;0.963029;0.804300;0.160860;
0.003770;0.962956;0.804567;0.160913;
0.003780;0.962886;0.804831;0.160966;
0.003790;0.962819;0.805092;0.161018;
0.003800;0.962755;0.805348;0.161070;
0.003810;0.962694;0.805601;0.161120;
0.003820;0.962637;0.805850;0.161170;
0.003830;0.962582;0.806095;0.161219;
0.003840;0.962530;0.806337;0.161267;
0.003850;0.962480;0.806576;0.161315;
0.003860;0.962434;0.806811;0.161362;
0.003870;0.962390;0.807044;0.161409;
0.003880;0.962350;0.807272;0.161454;
0.003890;0.962312;0.807498;0.161500;
0.003900;0.962276;0.807721;0.161544;
0.003910;0.962243;0.807940;0.161588;
0.003920;0.962213;0.808157;0.161631;
0.003930;0.962186;0.808371;0.161674;
0.003940;0.962161;0.808582;0.161716;
0.003950;0.962138;0.808790;0.161758;
0.003960;0.962117;0.808995;0.161799;
0.003970;0.962099;0.809198;0.161840;
0.003980;0.962084;0.809398;0.161880;
0.003990;0.962070;0.809596;0.161919;
0.004000;0.962059;0.809791;0.161958;
0.004010;0.962049;0.809984;0.161997;
0.004020;0.962042;0.810174;0.162035;
0.004030;0.962037;0.810362;0.162072;
0.004040;0.962033;0.810548;0.162110;
0.004050;0.962032;0.810731;0.162146;
0.004060;0.962032;0.810912;0.162182;
0.004070;0.962034;0.811092;0.162218;
0.004080;0.962037;0.811268;0.162254;
0.004090;0.962042;0.811443;0.162289;
0.004100;0.962049;0.811616;0.162323;
0.004110;0.962057;0.811787;0.162357;
0.004120;0.962066;0.811956;0.162391;
0.004130;0.962077;0.812123;0.162425;
0.004140;0.962089;0.812288;0.162458;
0.004150;0.962102;0.812452;0.162490;
0.004160;0.962116;0.812613;0.162523;
0.004170;0.962132;0.812773;0.162555;
0.004180;0.962148;0.812931;0.162586;
0.004190;0.962165;0.813087;0.162617;
0.004200;0.962184;0.813242;0.162648;
0.004210;0.962203;0.813395;0.162679;
0.004220;0.962223;0.813546;0.162709;
0.004230;0.962243;0.813696;0.162739;
0.004240;0.962264;0.813845;0.162769;
0.004250;0.962286;0.813991;0.162798;
0.004260;0.962309;0.814137;0.162827;
0.004270;0.962332;0.814280;0.162856;
0.004280;0.962355;0.814423;0.162885;
0.004290;0.962379;0.814564;0.162913;
0.004300;0.962403;0.814703;0.162941;
0.004310;0.962428;0.814841;0.162968;
0.004320;0.962453;0.814978;0.162996;
0.004330;0.962478;0.815114;0.163023;
0.004340;0.962503;0.815248;0.163050;
0.004350;0.962528;0.815381;0.163076;
0.004360;0.962554;0.815512;0.163102;
0.004370;0.962579;0.815642;0.163128;
0.004380;0.962605;0.815771;0.163154;
0.004390;0.962630;0.815899;0.163180;
0.004400;0.962656;0.816026;0.163205;
0.004410;0.962681;0.816151;0.163230;
0.004420;0.962707;0.816275;0.163255;
0.004430;0.962732;0.816398;0.163280;
0.004440;0.962757;0.816520;0.163304;
0.004450;0.962782;0.816640;0.163328;
