time;GEN1A_generator_omegaPu;GEN1A_generator_PGenPu;GEN1A_generator_UPu;GEN1B_generator_omegaPu;GEN1B_generator_PGenPu;GEN1B_generator_UPu;GEN2A_generator_omegaPu;GEN2A_generator_PGenPu;GEN2A_generator_UPu;GEN2B_generator_omegaPu;GEN2B_generator_PGenPu;GEN2B_generator_UPu;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_1_value;OMEGA_REF_omegaRef_grp_2_value;OMEGA_REF_omegaRef_grp_3_value;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;NETWORK_GEN1A_BUS_numcc_value;NETWORK_GEN2A_BUS_numcc_value;
2.349713;1.031000;5.023443;1.156811;1.030167;3.743141;1.153379;0.996400;3.691825;0.846897;0.997204;3.305709;0.839730;1.030649;1.030649;0.996789;0.996789;1.030649;0.996789;0.000000;1.000000;
2.385634;1.031829;5.047793;1.156407;1.030958;3.717177;1.153491;0.995973;3.669810;0.846557;0.997411;3.318267;0.838547;1.031462;1.031462;0.996669;0.996669;1.031462;0.996669;0.000000;1.000000;
2.421556;1.032596;5.070424;1.156000;1.031858;3.692716;1.153567;0.995637;3.636772;0.845958;0.997527;3.336101;0.836699;1.032285;1.032285;0.996552;0.996552;1.032285;0.996552;0.000000;1.000000;
2.457478;1.033312;5.087035;1.155683;1.032848;3.674568;1.153607;0.995420;3.596621;0.845097;0.997532;3.356269;0.834336;1.033117;1.033117;0.996442;0.996442;1.033117;0.996442;0.000000;1.000000;
2.493399;1.033997;5.094627;1.155535;1.033893;3.666237;1.153622;0.995336;3.553998;0.844044;0.997421;3.376086;0.831704;1.033953;1.033953;0.996345;0.996345;1.033953;0.996345;0.000000;1.000000;
2.529321;1.034678;5.091961;1.155590;1.034945;3.669190;1.153619;0.995382;3.513936;0.842932;0.997202;3.393313;0.829120;1.034791;1.034791;0.996263;0.996263;1.034791;0.996263;0.000000;1.000000;
2.565242;1.035380;5.079726;1.155826;1.035960;3.682592;1.153593;0.995542;3.481156;0.841940;0.996896;3.406469;0.826930;1.035624;1.035624;0.996197;0.996197;1.035624;0.996197;0.000000;1.000000;
2.601164;1.036126;5.060402;1.156179;1.036898;3.703533;1.153532;0.995786;3.459487;0.841248;0.996529;3.414738;0.825449;1.036451;1.036451;0.996145;0.996145;1.036451;0.996145;0.000000;1.000000;
2.637085;1.036927;5.037816;1.156562;1.037738;3.727707;1.153436;0.996072;3.451391;0.840984;0.996131;3.417772;0.824891;1.037269;1.037269;0.996101;0.996101;1.037269;0.996101;0.000000;1.000000;
2.673007;1.037787;5.016427;1.156900;1.038478;3.750331;1.153322;0.996358;3.457676;0.841195;0.995733;3.415484;0.825330;1.038078;1.038078;0.996055;0.996055;1.038078;0.996055;0.000000;1.000000;
2.708929;1.038695;5.000446;1.157140;1.039134;3.767096;1.153225;0.996598;3.477408;0.841828;0.995366;3.407976;0.826681;1.038880;1.038880;0.996002;0.996002;1.038880;0.996002;0.000000;1.000000;
2.744850;1.039633;4.992965;1.157252;1.039740;3.774944;1.153179;0.996754;3.508047;0.842750;0.995060;3.395641;0.828724;1.039678;1.039678;0.995935;0.995935;1.039678;0.995935;0.000000;1.000000;
2.780772;1.040576;4.995313;1.157226;1.040337;3.772574;1.153201;0.996800;3.545774;0.843792;0.994840;3.379363;0.831153;1.040475;1.040475;0.995852;0.995852;1.040475;0.995852;0.000000;1.000000;
2.816693;1.041499;5.006808;1.157064;1.040967;3.760625;1.153281;0.996720;3.586009;0.844787;0.994723;3.360684;0.833640;1.041275;1.041275;0.995754;0.995754;1.041275;0.995754;0.000000;1.000000;
2.852615;1.042382;5.024945;1.156786;1.041666;3.741539;1.153386;0.996517;3.624013;0.845618;0.994716;3.341793;0.835893;1.042081;1.042081;0.995646;0.995646;1.042081;0.995646;0.000000;1.000000;
2.888537;1.043212;5.045987;1.156437;1.042456;3.719113;1.153484;0.996205;3.655485;0.846228;0.994811;3.325253;0.837689;1.042894;1.042894;0.995530;0.995530;1.042894;0.995530;0.000000;1.000000;
2.924458;1.043988;5.065764;1.156086;1.043340;3.697777;1.153554;0.995811;3.677034;0.846611;0.994986;3.313523;0.838888;1.043715;1.043715;0.995412;0.995412;1.043715;0.995412;0.000000;1.000000;
2.960380;1.044719;5.080509;1.155810;1.044304;3.681721;1.153593;0.995371;3.686468;0.846782;0.995207;3.308410;0.839414;1.044544;1.044544;0.995292;0.995292;1.044544;0.995292;0.000000;1.000000;
2.996301;1.045423;5.087534;1.155675;1.045315;3.674036;1.153609;0.994927;3.682942;0.846748;0.995432;3.310649;0.839243;1.045378;1.045378;0.995171;0.995171;1.045378;0.995171;0.000000;1.000000;
2.999999;1.045495;5.087753;1.155671;1.045420;3.673797;1.153610;0.994883;3.681874;0.846732;0.995453;3.311268;0.839186;1.045463;1.045463;0.995159;0.995159;1.045463;0.995159;0.000000;1.000000;
2.999999;1.045495;5.309538;0.999789;1.045420;3.934792;0.998754;0.994883;3.471356;1.000026;0.995453;3.399199;0.998400;1.020579;1.020579;1.020579;1.020579;1.020579;1.000000;0.000000;0.000000;
3.000000;1.045495;5.309563;0.999787;1.045420;3.934814;0.998752;0.994883;3.471313;1.000026;0.995453;3.399172;0.998400;1.020579;1.020579;1.020579;1.020579;1.020579;1.000000;0.000000;0.000000;
3.000001;1.045495;5.309588;0.999786;1.045420;3.934836;0.998751;0.994883;3.471270;1.000025;0.995453;3.399145;0.998400;1.020579;1.020579;1.020579;1.020579;1.020579;1.000000;0.000000;0.000000;
3.000003;1.045495;5.309638;0.999782;1.045420;3.934880;0.998747;0.994883;3.471184;1.000025;0.995453;3.399091;0.998399;1.020579;1.020579;1.020579;1.020579;1.020579;1.000000;0.000000;0.000000;
3.000007;1.045495;5.309740;0.999775;1.045420;3.934968;0.998741;0.994883;3.471013;1.000024;0.995453;3.398984;0.998398;1.020579;1.020579;1.020579;1.020579;1.020579;1.000000;0.000000;0.000000;
3.000015;1.045495;5.309942;0.999761;1.045420;3.935143;0.998728;0.994883;3.470670;1.000022;0.995453;3.398768;0.998396;1.020579;1.020579;1.020579;1.020579;1.020579;1.000000;0.000000;0.000000;
3.000031;1.045495;5.310346;0.999734;1.045420;3.935495;0.998703;0.994883;3.469985;1.000017;0.995453;3.398338;0.998391;1.020579;1.020579;1.020579;1.020579;1.020579;1.000000;0.000000;0.000000;
3.000063;1.045495;5.311154;0.999678;1.045420;3.936197;0.998651;0.994884;3.468613;1.000009;0.995453;3.397476;0.998383;1.020579;1.020579;1.020579;1.020579;1.020579;1.000000;0.000000;0.000000;
3.000127;1.045495;5.312767;0.999567;1.045419;3.937599;0.998549;0.994885;3.465869;0.999991;0.995453;3.395752;0.998365;1.020579;1.020579;1.020579;1.020579;1.020579;1.000000;0.000000;0.000000;
3.000255;1.045494;5.315986;0.999343;1.045418;3.940398;0.998342;0.994886;3.460377;0.999955;0.995452;3.392300;0.998329;1.020579;1.020579;1.020579;1.020579;1.020579;1.000000;0.000000;0.000000;
3.000511;1.045494;5.322389;0.998892;1.045415;3.945970;0.997925;0.994890;3.449379;0.999879;0.995452;3.385377;0.998252;1.020579;1.020579;1.020579;1.020579;1.020579;1.000000;0.000000;0.000000;
3.001023;1.045492;5.335058;0.997974;1.045410;3.957010;0.997076;0.994899;3.427330;0.999712;0.995451;3.371463;0.998084;1.020579;1.020579;1.020579;1.020579;1.020579;1.000000;0.000000;0.000000;
3.002047;1.045487;5.359841;0.996078;1.045397;3.978672;0.995318;0.994919;3.383028;0.999317;0.995454;3.343362;0.997686;1.020581;1.020581;1.020581;1.020581;1.020581;1.000000;0.000000;0.000000;
3.004095;1.045472;5.407141;0.992046;1.045363;4.020277;0.991560;0.994972;3.293687;0.998282;0.995475;3.286128;0.996643;1.020588;1.020588;1.020588;1.020588;1.020588;1.000000;0.000000;0.000000;
3.008191;1.045422;5.492325;0.983033;1.045266;4.096291;0.983096;0.995128;3.112683;0.995249;0.995575;3.167988;0.993585;1.020617;1.020617;1.020617;1.020617;1.020617;1.000000;0.000000;0.000000;
