time;GEN_A1_generator_omegaPu;GEN_A1_generator_PGen;GEN_A1_generator_QGen;GEN_A1_generator_UStatorPu;GEN_A1_voltageRegulator_EfdPu;GEN_A2_generator_omegaPu;GEN_A2_generator_PGen;GEN_A2_generator_QGen;GEN_A2_generator_UStatorPu;GEN_B1_generator_omegaPu;GEN_B1_generator_PGen;GEN_B1_generator_QGen;GEN_B1_generator_UStatorPu;GEN_B1_voltageRegulator_EfdPu;GEN_B2_generator_omegaPu;GEN_B2_generator_PGen;GEN_B2_generator_QGen;GEN_B2_generator_UStatorPu;OMEGA_REF_omegaRef_0_value;OMEGA_REF_omegaRef_1_value;OMEGA_REF_omegaRef_grp_0_value;OMEGA_REF_omegaRef_grp_2_value;NETWORK_A_HV1_Upu_value;NETWORK_A_HV2_Upu_value;NETWORK_A_HV3_Upu_value;NETWORK_B_HV1_Upu_value;NETWORK_B_HV2_Upu_value;NETWORK_A_LD1_Upu_value;NETWORK_B_LD2_Upu_value;NETWORK_A_HV1_numcc_value;NETWORK_B_HV1_numcc_value;HVDC1_hvdc_PInj1Pu;HVDC1_hvdc_PInj2Pu;HVDC1_hvdc_P1RefPu;LOAD_A1_load_PPu;
1.360448;0.997470;906.344373;2.427315;0.982194;2.599414;0.997561;162.363607;38.606423;0.998328;1.000063;403.089914;31.863984;1.003474;1.520679;1.000057;100.569541;10.502063;1.004995;0.997487;1.000062;0.997487;1.000062;0.978484;0.980376;0.979474;0.999983;0.999989;0.962844;0.992545;0.000000;1.000000;-0.581671;0.581671;0.581671;4.817980;
1.425984;0.997014;905.138423;2.447714;0.983202;2.579245;0.997437;164.778622;38.537550;0.999386;1.000058;403.382237;31.866663;1.003476;1.520630;1.000053;100.590123;10.498937;1.004995;0.997091;1.000057;0.997091;1.000057;0.979511;0.981420;0.980509;0.999984;0.999990;0.963855;0.992546;0.000000;1.000000;-0.578552;0.578552;0.578552;4.825577;
1.491520;0.996577;902.418271;2.768047;0.984303;2.557232;0.997177;168.799995;38.072041;1.000379;1.000053;403.671250;31.870586;1.003480;1.520553;1.000047;100.613216;10.494681;1.004996;0.996687;1.000052;0.996687;1.000052;0.980615;0.982515;0.981611;0.999987;0.999992;0.964943;0.992548;0.000000;1.000000;-0.575453;0.575453;0.575453;4.833749;
1.557056;0.996163;899.258387;3.270550;0.985330;2.536685;0.996747;173.119085;37.398172;1.001194;1.000046;403.955274;31.875566;1.003485;1.520456;1.000041;100.640697;10.489358;1.004998;0.996270;1.000045;0.996270;1.000045;0.981632;0.983502;0.982615;0.999990;0.999995;0.965945;0.992551;0.000000;1.000000;-0.572367;0.572367;0.572367;4.841276;
1.622592;0.995771;896.736834;3.777617;0.986148;2.520322;0.996174;176.480521;36.760336;1.001778;1.000038;404.233355;31.881436;1.003490;1.520350;1.000034;100.673111;10.483053;1.004999;0.995844;1.000037;0.995844;1.000037;0.982431;0.984264;0.983398;0.999994;0.999999;0.966732;0.992554;0.000000;1.000000;-0.569295;0.569295;0.569295;4.847200;
1.688128;0.995395;895.600948;4.121885;0.986684;2.509604;0.995526;178.055335;36.369390;1.002141;1.000029;404.505410;31.888023;1.003495;1.520242;1.000025;100.709686;10.475901;1.005000;0.995419;1.000028;0.995419;1.000028;0.982950;0.984752;0.983902;0.999998;1.000002;0.967244;0.992558;0.000000;1.000000;-0.566241;0.566241;0.566241;4.851044;
1.753664;0.995028;896.056338;4.214935;0.986937;2.504541;0.994889;177.653820;36.324931;1.002333;1.000019;404.772129;31.895126;1.003500;1.520142;1.000015;100.748707;10.468100;1.005000;0.995003;1.000018;0.995003;1.000018;0.983194;0.984981;0.984137;1.000002;1.000005;0.967484;0.992560;0.000000;1.000000;-0.563212;0.563212;0.563212;4.852852;
1.819200;0.994665;897.763536;4.069411;0.986971;2.503879;0.994338;175.710863;36.594815;1.002420;1.000008;405.034666;31.902517;1.003505;1.520055;1.000004;100.788105;10.459894;1.005000;0.994606;1.000007;0.994606;1.000007;0.983228;0.985018;0.984171;1.000005;1.000007;0.967518;0.992563;0.000000;1.000000;-0.560215;0.560215;0.560215;4.853103;
1.884736;0.994302;900.022601;3.770669;0.986888;2.505520;0.993916;173.073417;37.053029;1.002475;0.999996;405.294256;31.909960;1.003508;1.519985;0.999992;100.826055;10.451543;1.004998;0.994232;0.999995;0.994232;0.999995;0.983156;0.984963;0.984104;1.000007;1.000008;0.967446;0.992564;0.000000;1.000000;-0.557254;0.557254;0.557254;4.852563;
1.950272;0.993938;902.045862;3.430826;0.986807;2.507147;0.993624;170.687758;37.539719;1.002564;0.999983;405.551868;31.917233;1.003511;1.519937;0.999978;100.861448;10.443285;1.004996;0.993881;0.999982;0.993881;0.999982;0.983089;0.984921;0.984048;1.000008;1.000008;0.967380;0.992564;0.000000;1.000000;-0.554328;0.554328;0.554328;4.852070;
