time;NETWORK_B1_Urms;
0.012000;1.029436;
0.012010;1.029220;
0.012020;1.029005;
0.012030;1.028791;
0.012040;1.028578;
0.012050;1.028366;
0.012060;1.028155;
0.012070;1.027945;
0.012080;1.027735;
0.012090;1.027527;
0.012100;1.027320;
0.012110;1.027114;
0.012120;1.026909;
0.012130;1.026705;
0.012140;1.026502;
0.012150;1.026300;
0.012160;1.026100;
0.012170;1.025901;
0.012180;1.025704;
0.012190;1.025507;
0.012200;1.025313;
0.012210;1.025119;
0.012220;1.024927;
0.012230;1.024736;
0.012240;1.024547;
0.012250;1.024360;
0.012260;1.024174;
0.012270;1.023989;
0.012280;1.023806;
0.012290;1.023625;
0.012300;1.023445;
0.012310;1.023267;
0.012320;1.023091;
0.012330;1.022917;
0.012340;1.022744;
0.012350;1.022573;
0.012360;1.022404;
0.012370;1.022236;
0.012380;1.022071;
0.012390;1.021907;
0.012400;1.021745;
0.012410;1.021585;
0.012420;1.021427;
0.012430;1.021271;
0.012440;1.021117;
0.012450;1.020964;
0.012460;1.020814;
0.012470;1.020666;
0.012480;1.020520;
0.012490;1.020375;
0.012500;1.020233;
0.012510;1.020093;
0.012520;1.019955;
0.012530;1.019819;
0.012540;1.019686;
0.012550;1.019554;
0.012560;1.019424;
0.012570;1.019297;
0.012580;1.019172;
0.012590;1.019049;
0.012600;1.018928;
0.012610;1.018809;
0.012620;1.018693;
0.012630;1.018578;
0.012640;1.018466;
0.012650;1.018356;
