time;GEN_generator_omegaPu;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_UPu;GEN_generator_delta;LOAD_load_PPu;LOAD_load_QPu;OMEGA_REF_setPoint_setPoint;NETWORK_BUS_Upu_value;
4.161824;0.948076;1.200000;0.199922;0.990605;-33.287477;1.200000;0.200000;1.000000;0.990605;
4.178208;0.947919;1.200000;0.199952;0.990598;-33.555143;1.200000;0.200000;1.000000;0.990598;
4.210976;0.947606;1.200000;0.199914;0.990607;-34.092894;1.200000;0.200000;1.000000;0.990607;
4.227360;0.947450;1.200000;0.199949;0.990598;-34.362977;1.200000;0.200000;1.000000;0.990598;
4.260128;0.947140;1.200000;0.199905;0.990608;-34.905538;1.200000;0.200000;1.000000;0.990608;
4.276512;0.946986;1.200000;0.199945;0.990599;-35.178014;1.200000;0.200000;1.000000;0.990599;
4.309280;0.946679;1.200000;0.199896;0.990610;-35.725338;1.200000;0.200000;1.000000;0.990610;
4.325664;0.946526;1.200000;0.199941;0.990599;-36.000184;1.200000;0.200000;1.000000;0.990599;
4.358432;0.946222;1.200000;0.199886;0.990612;-36.552224;1.200000;0.200000;1.000000;0.990612;
4.374816;0.946071;1.200000;0.199937;0.990600;-36.829416;1.200000;0.200000;1.000000;0.990600;
4.407584;0.945770;1.200000;0.199875;0.990614;-37.386126;1.200000;0.200000;1.000000;0.990614;
4.423968;0.945620;1.200000;0.199933;0.990600;-37.665642;1.200000;0.200000;1.000000;0.990600;
4.456736;0.945322;1.200000;0.199864;0.990616;-38.226977;1.200000;0.200000;1.000000;0.990616;
4.473120;0.945174;1.200000;0.199928;0.990601;-38.508793;1.200000;0.200000;1.000000;0.990601;
4.505888;0.944879;1.200000;0.199851;0.990618;-39.074707;1.200000;0.200000;1.000000;0.990618;
4.522272;0.944732;1.200000;0.199923;0.990602;-39.358802;1.200000;0.200000;1.000000;0.990602;
4.555040;0.944440;1.200000;0.199838;0.990620;-39.929250;1.200000;0.200000;1.000000;0.990620;
4.571424;0.944295;1.200000;0.199918;0.990602;-40.215601;1.200000;0.200000;1.000000;0.990602;
4.604192;0.944005;1.200000;0.199824;0.990622;-40.790539;1.200000;0.200000;1.000000;0.990622;
4.620576;0.943861;1.200000;0.199913;0.990603;-41.079124;1.200000;0.200000;1.000000;0.990603;
4.653344;0.943575;1.200000;0.199810;0.990625;-41.658508;1.200000;0.200000;1.000000;0.990625;
4.669728;0.943432;1.200000;0.199908;0.990604;-41.949305;1.200000;0.200000;1.000000;0.990604;
4.702496;0.943148;1.200000;0.199794;0.990628;-42.533091;1.200000;0.200000;1.000000;0.990628;
4.718880;0.943007;1.200000;0.199902;0.990605;-42.826079;1.200000;0.200000;1.000000;0.990605;
4.751648;0.942726;1.200000;0.199778;0.990630;-43.414225;1.200000;0.200000;1.000000;0.990630;
4.768032;0.942587;1.200000;0.199896;0.990605;-43.709382;1.200000;0.200000;1.000000;0.990605;
4.800800;0.942308;1.200000;0.199760;0.990633;-44.301845;1.200000;0.200000;1.000000;0.990633;
4.817184;0.942170;1.200000;0.199890;0.990606;-44.599149;1.200000;0.200000;1.000000;0.990606;
4.849952;0.941895;1.200000;0.199969;0.990597;-45.195887;1.200000;0.200000;1.000000;0.990597;
4.866336;0.941757;1.200000;0.199884;0.990607;-45.495318;1.200000;0.200000;1.000000;0.990607;
4.899104;0.941485;1.200000;0.199966;0.990598;-46.096288;1.200000;0.200000;1.000000;0.990598;
4.915488;0.941349;1.200000;0.199876;0.990608;-46.397826;1.200000;0.200000;1.000000;0.990608;
4.948256;0.941079;1.200000;0.199962;0.990599;-47.002988;1.200000;0.200000;1.000000;0.990599;
4.964640;0.940944;1.200000;0.199870;0.990609;-47.306610;1.200000;0.200000;1.000000;0.990609;
4.997408;0.940677;1.200000;0.199958;0.990600;-47.915922;1.200000;0.200000;1.000000;0.990600;
5.013792;0.940544;1.200000;0.199863;0.990609;-48.221610;1.200000;0.200000;1.000000;0.990609;
5.046560;0.940279;1.200000;0.199954;0.990600;-48.835032;1.200000;0.200000;1.000000;0.990600;
5.062944;0.940147;1.200000;0.199855;0.990610;-49.142765;1.200000;0.200000;1.000000;0.990610;
5.095712;0.939885;1.200000;0.199950;0.990601;-49.760256;1.200000;0.200000;1.000000;0.990601;
5.112096;0.939755;1.200000;0.199848;0.990611;-50.070014;1.200000;0.200000;1.000000;0.990611;
5.144864;0.939495;1.200000;0.199945;0.990602;-50.691535;1.200000;0.200000;1.000000;0.990602;
5.161248;0.939366;1.200000;0.199840;0.990612;-51.003298;1.200000;0.200000;1.000000;0.990612;
5.194016;0.939109;1.200000;0.199940;0.990603;-51.628809;1.200000;0.200000;1.000000;0.990603;
5.210400;0.938981;1.200000;0.199832;0.990613;-51.942557;1.200000;0.200000;1.000000;0.990613;
5.243168;0.938726;1.200000;0.199934;0.990604;-52.572020;1.200000;0.200000;1.000000;0.990604;
5.259552;0.938599;1.200000;0.199824;0.990614;-52.887734;1.200000;0.200000;1.000000;0.990614;
5.292320;0.938347;1.200000;0.199928;0.990605;-53.521110;1.200000;0.200000;1.000000;0.990605;
5.308704;0.938222;1.200000;0.199982;0.990594;-53.838770;1.200000;0.200000;1.000000;0.990594;
5.341472;0.937972;1.200000;0.199922;0.990607;-54.476020;1.200000;0.200000;1.000000;0.990607;
5.357856;0.937848;1.200000;0.199981;0.990594;-54.795608;1.200000;0.200000;1.000000;0.990594;
5.390624;0.937601;1.200000;0.199915;0.990608;-55.436695;1.200000;0.200000;1.000000;0.990608;
5.407008;0.937478;1.200000;0.199980;0.990595;-55.758192;1.200000;0.200000;1.000000;0.990595;
5.439776;0.937233;1.200000;0.199908;0.990609;-56.403078;1.200000;0.200000;1.000000;0.990609;
5.456160;0.937111;1.200000;0.199978;0.990595;-56.726465;1.200000;0.200000;1.000000;0.990595;
5.488928;0.936869;1.200000;0.199901;0.990611;-57.375112;1.200000;0.200000;1.000000;0.990611;
5.505312;0.936748;1.200000;0.199977;0.990595;-57.700371;1.200000;0.200000;1.000000;0.990595;
5.538080;0.936508;1.200000;0.199893;0.990612;-58.352744;1.200000;0.200000;1.000000;0.990612;
5.554464;0.936388;1.200000;0.199975;0.990596;-58.679856;1.200000;0.200000;1.000000;0.990596;
5.587232;0.936151;1.200000;0.199885;0.990614;-59.335917;1.200000;0.200000;1.000000;0.990614;
5.603616;0.936032;1.200000;0.199973;0.990596;-59.664864;1.200000;0.200000;1.000000;0.990596;
5.636384;0.935797;1.200000;0.199876;0.990615;-60.324578;1.200000;0.200000;1.000000;0.990615;
5.652768;0.935680;1.200000;0.199972;0.990596;-60.655343;1.200000;0.200000;1.000000;0.990596;
5.685536;0.935447;1.200000;0.199867;0.990617;-61.318673;1.200000;0.200000;1.000000;0.990617;
